"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Kyle Nelson","Arizona Diamondbacks","P",0,1000,0
"Jake Bird","Colorado Rockies","P",0,1000,0
"Andre Jackson","Los Angeles Dodgers","P",0,1000,0
"Domingo Tapia","San Diego Padres","P",0,1000,0
"Gabe Speier","Seattle Mariners","P",0,1000,0
"Shelby Miller","Los Angeles Dodgers","P",0,1000,0
"Jimmy Nelson","Los Angeles Dodgers","P",0,1000,0
"Germán Márquez","Colorado Rockies","P",0,1000,0
"Daniel Hudson","Los Angeles Dodgers","P",0,1000,0
"Ray Kerr","San Diego Padres","P",0,1000,0
"Chris Flexen","Seattle Mariners","P",0,1000,0
"Shane Bieber","Cleveland Guardians","P",0,1000,0
"Randal Grichuk","Colorado Rockies","OF",0,1000,0
"Kyle Freeland","Colorado Rockies","P",0,1000,0
"Victor González","Los Angeles Dodgers","P",0,1000,0
"Brent Honeywell Jr.","San Diego Padres","P",0,1000,0
"Fernando Tatis Jr.","San Diego Padres","IF",0,1000,0
"JP Sears","Oakland Athletics","P",0,1000,0
"Joe Musgrove","San Diego Padres","P",0,1000,0
"José Marte","Los Angeles Angels","P",0,1000,0
"Pedro Avila","San Diego Padres","P",0,1000,0
"Eguy Rosario","San Diego Padres","IF",0,1000,0
"Anthony Misiewicz","Arizona Diamondbacks","P",0,1000,0
"José Suarez","Los Angeles Angels","P",0,1000,0
"Griffin Canning","Los Angeles Angels","P",0,1000,0
"Tony Gonsolin","Los Angeles Dodgers","P",0,1000,0
"Adrian Morejon","San Diego Padres","P",0,1000,0
"Gavin Hollowell","Colorado Rockies","P",0,1000,0
"Chase Silseth","Los Angeles Angels","P",0,1000,0
"Clayton Kershaw","Los Angeles Dodgers","P",0,1000,0
"Kirby Snead","Oakland Athletics","P",0,1000,0
"Chris Rodriguez","Los Angeles Angels","P",0,1000,0
"Logan Gilbert","Seattle Mariners","P",0,1000,0
"Reiss Knehr","San Diego Padres","P",0,1000,0
"Manny Piña","Oakland Athletics","IF",0,1000,0
"Carson Kelly","Arizona Diamondbacks","IF",0,1000,0
"Joe Mantiply","Arizona Diamondbacks","P",0,1000,0
"Ryan Rolison","Colorado Rockies","P",0,1000,0
"Daniel Bard","Colorado Rockies","P",0,1000,0
"Triston McKenzie","Cleveland Guardians","P",0,1000,0
"Walker Buehler","Los Angeles Dodgers","P",0,1000,0
"Blake Treinen","Los Angeles Dodgers","P",0,1000,0
"Taylor Trammell","Seattle Mariners","OF",0,1000,0
"Ryan Pepiot","Los Angeles Dodgers","P",0,1000,0
"Tommy Henry","Arizona Diamondbacks","P",0,1000,0
"Shintaro Fujinami","Oakland Athletics","P",0,1000,0
"Corbin Martin","Arizona Diamondbacks","P",0,1000,0
"Luis Frías","Arizona Diamondbacks","P",0,1000,0
"Tucker Davidson","Los Angeles Angels","P",0,1000,0
"Alex Reyes","Los Angeles Dodgers","P",0,1000,0
"Justin Topa","Seattle Mariners","P",0,1000,0
"Aaron Civale","Cleveland Guardians","P",0,1000,0
"Lucas Gilbreath","Colorado Rockies","P",0,1000,0
"Jared Walsh","Los Angeles Angels","IF",0,1000,0
"Seth Lugo","San Diego Padres","P",0,1000,0
"Julio Urías","Los Angeles Dodgers","P",0,1000,0
"Yu Darvish","San Diego Padres","P",0,1000,0
"Peter Lambert","Colorado Rockies","P",0,1000,0
"Adam Engel","San Diego Padres","OF",0,1000,0
"Easton McGee","Seattle Mariners","P",0,1000,0
"Luis Castillo","Seattle Mariners","P",0,1000,0
"Konnor Pilkington","Cleveland Guardians","P",0,1000,0
"Noah Davis","Colorado Rockies","P",0,1000,0
"Mark Melancon","Arizona Diamondbacks","P",0,1000,0
"Robbie Ray","Seattle Mariners","P",0,1000,0
"Tyler Kinley","Colorado Rockies","P",0,1000,0
"Kyle Muller","Oakland Athletics","P",0,1000,0
"Zack Weiss","Los Angeles Angels","P",0,1000,0
"Patrick Sandoval","Los Angeles Angels","P",0,1000,0
"J.P. Feyereisen","Los Angeles Dodgers","P",0,1000,0
"Drew Rucinski","Oakland Athletics","P",0,1000,0
"Cody Morris","Cleveland Guardians","P",0,1000,0
"Dylan Moore","Seattle Mariners","OF",0,1000,0
"Hunter Gaddis","Cleveland Guardians","P",0,1000,0
"José Castillo","San Diego Padres","P",0,1000,0
"Antonio Senzatela","Colorado Rockies","P",0,1000,0
"Justin Bruihl","Los Angeles Dodgers","P",0,1000,0
"Julio Teheran","","P",0,1000,0
"Dustin May","Los Angeles Dodgers","P",0,1000,0
"Austin Gomber","Colorado Rockies","P",0,1000,0
"Marco Gonzales","Seattle Mariners","P",0,1000,0
"Nick Martinez","San Diego Padres","P",0,1000,0
"Ken Waldichuk","Oakland Athletics","P",0,1000,0
"Michael Wacha","San Diego Padres","P",0,1000,0
"Merrill Kelly","Arizona Diamondbacks","P",0,1000,0
"Paul Blackburn","Oakland Athletics","P",0,1000,0
"Zac Gallen","Arizona Diamondbacks","P",0,1000,0
"Madison Bumgarner","Arizona Diamondbacks","P",0,1000,0
"Gavin Lux","Los Angeles Dodgers","IF",0,1000,0
"Tyler Anderson","Los Angeles Angels","P",0,1000,0
"Cal Quantrill","Cleveland Guardians","P",0,1000,0
"Freddy Tarnok","Oakland Athletics","P",0,1000,0
"Noah Syndergaard","Los Angeles Dodgers","P",0,1000,0
"Robert Suarez","San Diego Padres","P",0,1000,0
"Max Stassi","Los Angeles Angels","IF",0,1000,0
"Sam Hentges","Cleveland Guardians","P",0,1000,0
"Tayler Saucedo","Seattle Mariners","P",0,1000,0
"Brennan Bernardino","Seattle Mariners","P",0,1000,0
"Zach Davies","Arizona Diamondbacks","P",0,1000,0
"Blake Snell","San Diego Padres","P",0,1000,0
"Drew Pomeranz","San Diego Padres","P",0,1000,0
"José Ureña","Colorado Rockies","P",0,1000,0
"Nick Mears","Colorado Rockies","P",0,1000,0
"Brendan Rodgers","Colorado Rockies","IF",0,1000,0
"Justin Garza","Los Angeles Angels","P",0,1000,0
"Sean Bouchard","Colorado Rockies","IF",0,1000,0
"Adam Oller","Oakland Athletics","P",0,1000,0
"Ty Blach","Colorado Rockies","P",0,1000,0
"Xzavion Curry","Cleveland Guardians","P",0,1000,0
"Connor Seabold","Colorado Rockies","P",0,1000,0
