Rank,Player,Team,Positions,Yahoo,ESPN,AVG
246,Max Muncy,LAD,"1B,2B",107,60,271
68,Anthony Rendon,LAA,3B,79,61,70
57,George Springer,TOR,"CF,DH",59,62,60.5
78,Emmanuel Clase,CLE,RP,93,63,78
76,DJ LeMahieu,NYY,"1B,2B,3B",91,64,77.5
60,Jose Abreu,CWS,1B,58,65,61.5
71,Will Smith,LAD,C,78,66,72
73,Charlie Morton,ATL,SP,84,67,75.5
36,Fernando Tatis Jr.,SD,"SS,CF,RF",8,68,38
56,Lance Lynn,CWS,SP,52,69,60.5
41,Luis Robert,CWS,CF,19,70,44.5
50,Whit Merrifield,KC,"2B,RF",35,71,53
92,Dylan Cease,CWS,SP,109,72,90.5
53,Austin Riley,ATL,"1B,3B",42,73,57.5
75,Raisel Iglesias,LAA,RP,77,74,75.5
63,J.D. Martinez,BOS,"LF,RF,DH",56,75,65.5
100,Josh Bell,WSH,"1B,LF",135,76,105.5
108,Nathan Eovaldi,BOS,SP,146,77,111.5
88,Jorge Polanco,MIN,"2B,SS",98,78,88
86,Alek Manoah,TOR,SP,95,79,87
87,Ryan Pressly,HOU,RP,94,80,87
55,Trevor Story,BOS,SS,38,81,59.5
74,J.T. Realmuto,PHI,"C,1B",69,82,75.5
82,Aroldis Chapman,NYY,RP,82,83,82.5
83,Cody Bellinger,LAD,CF,85,84,84.5
99,Yasmani Grandal,CWS,"C,1B",122,85,103.5
89,Carlos Rodon,SF,SP,90,86,88
93,Jesse Winker,SEA,LF,101,87,94
80,Christian Yelich,MIL,LF,75,88,81.5
116,Anthony Rizzo,NYY,1B,151,89,120
96,Edwin Diaz,NYM,RP,104,90,97
104,Jake Cronenworth,SD,"1B,2B,SS",124,91,107.5
69,Eloy Jimenez,CWS,LF,49,92,70.5
111,Tyler Mahle,CIN,SP,136,93,114.5
62,Teoscar Hernandez,TOR,"LF,RF",36,94,65
114,Eduardo Rodriguez,DET,SP,143,95,119
95,Mitch Haniger,SEA,"RF,DH",96,96,96
81,Giancarlo Stanton,NYY,"LF,RF,DH",68,97,82.5
102,Chris Bassitt,NYM,SP,114,98,106
58,Starling Marte,NYM,CF,24,99,61.5
121,Sean Manaea,OAK,SP,148,100,124
117,Justin Turner,LAD,3B,139,101,120
103,Kenley Jansen,ATL,RP,111,102,106.5
90,Brandon Lowe,TB,"2B,LF,RF",74,103,88.5
105,Shane McClanahan,TB,SP,112,104,108
107,Kyle Schwarber,PHI,"1B,LF",115,105,110
94,Jonathan India,CIN,2B,86,106,96
85,Chris Sale,BOS,SP,65,107,86
66,Tim Anderson,CWS,SS,29,108,68.5
84,Byron Buxton,MIN,CF,62,109,86
109,Blake Snell,SD,SP,113,110,112
106,Clayton Kershaw,LAD,SP,106,111,109
118,Blake Treinen,LAD,RP,127,112,120
143,Seiya Suzuki,CHC,"LF,RF",183,113,148.5
131,Yuli Gurriel,HOU,1B,158,114,136.5
113,Justin Verlander,HOU,SP,121,115,118.5
133,Alex Verdugo,BOS,"LF,CF,RF",157,116,137
110,Giovanny Gallegos,STL,RP,108,117,113
125,Framber Valdez,HOU,SP,133,118,126
115,Austin Meadows,TB,"LF,DH",119,119,119.5
128,Rhys Hoskins,PHI,1B,141,120,131
166,Eddie Rosario,ATL,LF,222,121,172
170,German Marquez,COL,SP,227,122,175
98,Jack Flaherty,STL,SP,81,123,102.5
140,Joey Votto,CIN,1B,168,124,146.5
120,Tommy Edman,STL,"2B,RF",118,125,122
91,Randy Arozarena,TB,"LF,RF",51,126,89
130,Lourdes Gurriel Jr.,TOR,"1B,LF",142,127,135
112,Trevor Rogers,MIA,SP,103,128,116
139,Michael Brantley,HOU,"LF,RF,DH",155,129,142.5
124,Dansby Swanson,ATL,SS,120,130,125.5
159,Josh Donaldson,NYY,"3B,DH",198,131,165
141,Michael Kopech,CWS,"SP,RP",162,132,147.5
127,Matt Chapman,TOR,3B,126,133,130
132,Sonny Gray,MIN,SP,138,134,136.5
101,Tyler O'Neill,STL,LF,76,135,106
144,Ty France,SEA,"1B,2B,3B,DH",160,136,148.5
126,Nelson Cruz,WSH,DH,117,137,127.5
135,Zac Gallen,ARI,SP,137,138,138
97,Javier Baez,DET,"2B,SS",60,139,100
129,Pablo Lopez,MIA,SP,128,140,134.5
154,Hyun Jin Ryu,TOR,SP,173,141,157.5
119,Jared Walsh,LAA,"1B,RF",99,142,121
147,Daulton Varsho,ARI,"C,LF,CF,RF",156,143,150
137,C.J. Cron,COL,1B,132,144,138.5
123,Franmil Reyes,CLE,"RF,DH",105,145,125.5
122,Jordan Romano,TOR,RP,102,146,124.5
202,Kike Hernandez,BOS,"2B,CF",276,147,212
153,Shane Baz,TB,SP,165,148,157
138,Ian Anderson,ATL,SP,134,149,142
164,Marcell Ozuna,ATL,LF,189,150,170
162,Marcus Stroman,CHC,SP,184,151,168
171,Luis Severino,NYY,RP,201,152,177
176,Charlie Blackmon,COL,RF,206,153,180
152,Adam Wainwright,STL,SP,153,154,154
151,Michael Conforto,,RF,152,155,154
149,Joey Gallo,NYY,"LF,RF",145,156,151
174,Anthony DeSclafani,SF,SP,200,157,179
134,Bobby Witt Jr.,KC,SS,116,158,137.5
160,Jorge Soler,MIA,"RF,DH",172,159,166
180,Jean Segura,PHI,2B,204,160,182.5
167,Hunter Renfroe,MIL,"CF,RF",182,161,172
179,Ranger Suarez,PHI,"SP,RP",199,162,181
165,Logan Gilbert,SEA,SP,179,163,171.5
155,Scott Barlow,KC,RP,154,164,159.5
243,Jordan Montgomery,NYY,SP,345,165,255.5
136,Ryan Mountcastle,BAL,"1B,LF,DH",110,166,138.5
161,Gleyber Torres,NYY,"2B,SS",167,167,167.5
177,Tarik Skubal,DET,SP,191,168,180
146,Willson Contreras,CHC,C,129,169,149.5
188,Andrew Benintendi,KC,LF,211,170,191
258,Kolten Wong,MIL,2B,371,171,271.5
184,Keibert Ruiz,WSH,C,202,172,187.5
163,Lance McCullers Jr.,HOU,SP,164,173,169
168,Trey Mancini,BAL,"1B,DH",170,174,172.5
194,Kyle Hendricks,CHC,SP,218,175,197
172,Ke'Bryan Hayes,PIT,3B,177,176,177
148,Chris Taylor,LAD,"2B,3B,SS,LF,CF,RF",123,177,150.5
157,Dylan Carlson,STL,"LF,CF,RF",147,178,163
150,Trent Grisham,SD,CF,125,179,152.5
178,Frank Schwindel,CHC,1B,180,180,180.5
196,Cal Quantrill,CLE,"SP,RP",229,181,205.5
218,Luis Arraez,MIN,"2B,3B,LF",265,182,224
215,Jon Gray,TEX,SP,262,183,223
203,Alex Wood,SF,SP,244,184,214.5
189,Noah Syndergaard,LAA,SP,196,185,191
169,Avisail Garcia,MIA,RF,161,186,174
182,Taylor Rogers,MIN,RP,185,187,186.5
200,Mark Canha,NYM,"LF,CF,RF",232,188,210.5
220,Mike Yastrzemski,SF,"CF,RF",263,189,226.5
242,Drew Rasmussen,TB,"SP,RP",319,190,255
251,Bailey Ober,MIN,SP,334,191,263
263,Carlos Santana,KC,1B,363,192,278
156,Yoan Moncada,CWS,3B,130,193,162
191,Aaron Civale,CLE,SP,193,194,194
232,David Fletcher,LAA,"2B,SS",283,195,239.5
212,Jonathan Schoop,DET,"1B,2B",245,196,221
193,Tyler Stephenson,CIN,"C,1B",195,197,196.5
158,Will Smith,ATL,RP,131,198,165
198,Austin Hays,BAL,"LF,RF",214,199,207
292,Max Kepler,MIN,"CF,RF",402,200,301.5
190,Craig Kimbrel,CWS,RP,181,201,191.5
183,Corey Knebel,PHI,"SP,RP",171,202,187
205,Matt Barnes,BOS,RP,231,203,217.5
195,John Means,BAL,SP,190,204,197.5
259,Luis Urias,MIL,"2B,3B,SS",340,205,273
173,Mike Clevinger,SD,SP,150,206,178.5
213,Robbie Grossman,DET,"LF,RF",234,207,221
296,Jeimer Candelario,DET,3B,400,208,304.5
181,Willy Adames,MIL,SS,163,209,186.5
185,Jarred Kelenic,SEA,"LF,CF",166,210,188.5
285,Anthony Santander,BAL,"RF,DH",385,211,298.5
187,Jose Urquidy,HOU,SP,169,212,191
192,Camilo Doval,SF,RP,175,213,194.5
201,Eduardo Escobar,NYM,"1B,2B,3B",207,214,211
145,Jazz Chisholm Jr.,MIA,"2B,SS",83,215,149.5
268,Patrick Corbin,WSH,SP,342,216,279.5
199,Trevor Bauer,LAD,SP,197,217,207.5
175,Mark Melancon,ARI,RP,140,218,179.5
210,Brandon Crawford,SF,SS,219,219,219.5
222,Zach Plesac,CLE,SP,235,220,228
239,Spencer Torkelson,DET,"1B,3B",277,221,249.5
186,Ryan McMahon,COL,"2B,3B",159,222,191
256,Marco Gonzales,SEA,SP,313,223,268.5
260,Andrew Heaney,LAD,"SP,RP",326,224,275.5
223,Triston McKenzie,CLE,SP,230,225,228
207,Gary Sanchez,MIN,C,210,226,218.5
230,Joe Ryan,MIN,SP,243,227,235.5
142,Adalberto Mondesi,KC,"3B,SS",67,228,148
293,Yusei Kikuchi,TOR,SP,373,229,301.5
244,Zack Greinke,KC,SP,280,230,255.5
248,J.P. Crawford,SEA,SS,286,231,259
214,Cristian Javier,HOU,"SP,RP",212,232,222.5
197,Adam Duvall,ATL,"LF,CF,RF",178,233,206
227,Luke Voit,SD,1B,228,234,231.5
231,Alex Kirilloff,MIN,"1B,LF,RF",239,235,237.5
224,AJ Pollock,LAD,"LF,CF",220,236,228.5
216,Gregory Soto,DET,RP,208,237,223
316,Taijuan Walker,NYM,SP,404,238,321.5
279,Akil Baddoo,DET,"LF,CF",347,239,293.5
280,Kyle Gibson,PHI,SP,346,240,293.5
217,Christian Vazquez,BOS,C,205,241,223.5
257,Chris Flexen,SEA,SP,294,242,268.5
225,Ian Happ,CHC,"LF,CF,RF",215,243,229.5
204,Joe Barlow,TEX,RP,186,244,215.5
252,Steven Matz,STL,SP,282,245,264
308,Nathaniel Lowe,TEX,1B,383,246,315
287,Brandon Belt,SF,1B,352,247,300
269,Nick Madrigal,CHC,2B,311,248,280
209,Adolis Garcia,TEX,"LF,CF,RF",188,249,219
238,Casey Mize,DET,SP,247,250,249
254,Amed Rosario,CLE,"SS,CF",284,251,268
310,Josh Rojas,ARI,"2B,3B,SS,LF,RF",380,252,316.5
229,Stephen Strasburg,WSH,SP,216,253,235
211,Garrett Whitlock,BOS,RP,187,254,221
228,Tanner Houck,BOS,"SP,RP",213,255,234.5
312,Jesus Aguilar,MIA,1B,379,256,318
249,Dylan Floro,MIA,RP,260,257,259
272,Jeff McNeil,NYM,"2B,LF",306,258,282.5
206,Eugenio Suarez,SEA,"3B,SS",176,259,218
234,Patrick Sandoval,LAA,SP,221,260,241
237,Adley Rutschman,BAL,C,233,261,247.5
289,Andrew McCutchen,MIL,LF,339,262,301
221,Travis d'Arnaud,ATL,C,192,263,228
241,Myles Straw,CLE,CF,242,264,253.5
235,Brendan Rodgers,COL,"2B,SS",217,265,241.5
240,Yadier Molina,STL,C,236,266,251.5
295,Randal Grichuk,COL,"CF,RF",338,267,303
226,Devin Williams,MIL,RP,194,268,231.5
291,Sean Murphy,OAK,C,332,269,301
286,Nick Pivetta,BOS,SP,327,270,299
322,Brandon Nimmo,NYM,"LF,CF",396,271,334
314,Tommy Pham,CIN,"LF,CF",364,272,318.5
323,Harrison Bader,STL,CF,394,273,334
219,David Bednar,PIT,RP,174,274,224.5
233,Lou Trivino,OAK,RP,203,275,239.5
236,Mitch Garver,TEX,C,209,276,243
275,Corey Kluber,TB,SP,296,277,287
253,Andrew Kittredge,TB,"SP,RP",252,278,265.5
255,Bobby Dalbec,BOS,"1B,3B",256,279,268
278,Adam Frazier,SEA,"2B,LF",301,280,291
320,Tony Gonsolin,LAD,SP,382,281,332
326,Eric Hosmer,SD,1B,399,282,341
281,Joc Pederson,SF,"LF,CF,RF",304,283,294
307,Omar Narvaez,MIL,C,343,284,314
264,Julio Rodriguez,SEA,RF,269,285,278.5
208,Jake McGee,SF,RP,149,286,219
245,Mike Zunino,TB,C,226,287,258
303,Nestor Cortes Jr.,NYY,"SP,RP",331,288,311
330,Alex Cobb,SF,SP,401,289,346.5
247,Paul Sewald,SEA,RP,225,290,259
302,Gio Urshela,MIN,"3B,SS",324,291,309
306,Miguel Sano,MIN,1B,330,292,312.5
300,Isiah Kiner-Falefa,NYY,SS,318,293,307.5
331,Carlos Carrasco,NYM,SP,398,294,348
334,Jameson Taillon,NYY,SP,405,295,352
250,Adbert Alzolay,CHC,"SP,RP",223,296,261.5
318,Wilmer Flores,SF,"1B,2B,3B",362,297,331.5
304,Cavan Biggio,TOR,"3B,RF",321,298,311.5
271,Chad Green,NYY,RP,259,299,281
262,Jonathan Loaisiga,NYY,RP,249,300,276.5
315,Rowan Wick,CHC,RP,335,301,320
267,Tyler Matzek,ATL,RP,251,302,279
298,Oneil Cruz,PIT,SS,303,303,305.5
288,Madison Bumgarner,ARI,SP,292,304,300.5
301,Riley Greene,DET,CF,305,305,307.5
321,Gavin Lux,LAD,"2B,SS,LF,CF",354,306,332.5
266,Jonathan Villar,CHC,"2B,3B,SS",246,307,279
274,Tyler Rogers,SF,RP,261,308,287
328,Wil Myers,SD,"LF,RF",375,309,344.5
261,Miguel Cabrera,DET,"1B,DH",238,310,276.5
265,Andrew Vaughn,CWS,"1B,LF,RF",241,311,279
335,Jesus Sanchez,MIA,"LF,RF",390,312,354
273,Jo Adell,LAA,"LF,RF",255,313,287
336,Robert Suarez,SD,RP,388,314,354
283,Alejandro Kirk,TOR,C,271,315,296
270,Carson Kelly,ARI,C,240,316,281
277,Ramon Laureano,OAK,"CF,RF",258,317,291
284,Alex Colome,COL,RP,270,318,297.5
333,Mike Moustakas,CIN,"1B,3B",377,319,351.5
276,Patrick Wisdom,CHC,"1B,3B,LF",248,320,288.5
341,Huascar Ynoa,ATL,SP,397,321,365.5
294,Collin McHugh,ATL,"SP,RP",268,322,301.5
282,Kendall Graveman,CWS,RP,253,323,294.5
313,Lucas Sims,CIN,RP,299,324,318
290,Joey Bart,SF,C,264,325,301
337,Alec Bohm,PHI,3B,367,326,354
299,Didi Gregorius,PHI,SS,273,327,307.5
319,Eric Haase,DET,"C,LF",320,328,331.5
311,Tyler Glasnow,TB,SP,289,329,317
342,Dustin May,LAD,SP,384,330,365.5
340,Hunter Greene,CIN,SP,365,331,356.5
324,Josh Harrison,CWS,"2B,3B,SS,LF",325,332,337
344,Mike Soroka,ATL,SP,392,333,371
317,Brad Hand,PHI,RP,287,334,321.5
346,Chris Paddack,SD,SP,403,335,380.5
309,Nate Pearson,TOR,RP,272,336,315.5
338,Austin Nola,SD,C,350,337,355
329,Grayson Rodriguez,BAL,SP,329,338,345.5
325,James McCann,NYM,"C,1B",308,339,340.5
305,Tucker Barnhart,DET,C,250,340,312.5
297,Alex Reyes,STL,RP,224,341,305
348,Josiah Gray,WSH,SP,395,342,396.5
332,Diego Castillo,SEA,RP,295,343,350
339,Raimel Tapia,TOR,LF,302,344,363.5
343,Dinelson Lamet,SD,"SP,RP",322,345,385.5
345,Dakota Hudson,STL,"P,SP",351,346,404.5
347,Jose Barrero,CIN,"SS,CF",366,347,420.5
327,Evan Longoria,SF,3B,278,348,380
