"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"43","Julio Urias","LAD","SP","41","50","45.5"
"44","Kyle Schwarber","PHI","LF","44","49","46.5"
"45","Michael Harris II","ATL","CF","26","68","47.0"
"46","Ozzie Albies","ATL","2B","49","45","47.0"
"47","Zack Wheeler","PHI","SP","55","41","48.0"
"48","Alek Manoah","TOR","SP","57","44","50.5"
"49","Kevin Gausman","TOR","SP","65","37","51.0"
"50","J.T. Realmuto","PHI","C","45","61","53.0"
"51","Luis Castillo","SEA","SP","63","46","54.5"
"52","Josh Hader","SD","RP","43","70","56.5"
"53","Max Fried","ATL","SP","58","56","57.0"
"54","Yu Darvish","SD","SP","64","52","58.0"
"55","Alex Bregman","HOU","3B","79","40","59.5"
"56","Devin Williams","MIL","RP","54","65","59.5"
"57","George Springer","TOR","CF,RF,DH","68","55","61.5"
"58","Cedric Mullins II","BAL","CF","53","71","62.0"
"59","Luis Robert","CWS","CF","46","80","63.0"
"60","Will Smith","LAD","C,DH","80","47","63.5"
"61","Randy Arozarena","TB","LF,RF,DH","42","87","64.5"
"62","Zac Gallen","ARI","SP","74","60","67.0"
"63","Xander Bogaerts","SD","SS","62","72","67.0"
"64","Jose Abreu","HOU","1B,DH","71","63","67.0"
"65","Framber Valdez","HOU","SP","76","59","67.5"
"66","Daulton Varsho","TOR","C,CF,RF","72","64","68.0"
"67","Cristian Javier","HOU","SP,RP","70","67","68.5"
"68","Joe Musgrove","SD","SP","87","58","72.5"
"69","Jordan Romano","TOR","RP","51","96","73.5"
"70","Robbie Ray","SEA","SP","93","54","73.5"
"71","Adley Rutschman","BAL","C,DH","82","66","74.0"
"72","Wander Franco","TB","SS","96","53","74.5"
"73","Tyler Glasnow","TB","SP","92","57","74.5"
"74","Bryan Reynolds","PIT","CF","89","62","75.5"
"75","Ryan Pressly","HOU","RP","60","94","77.0"
"76","Raisel Iglesias","ATL","RP","77","85","81.0"
"77","Dansby Swanson","CHC","SS","83","79","81.0"
"78","Jazz Chisholm Jr.","MIA","2B","56","113","84.5"
"79","Tommy Edman","STL","2B,SS","84","86","85.0"
"80","Vinnie Pasquantino","KC","1B,DH","99","74","86.5"
"81","Triston McKenzie","CLE","SP","97","76","86.5"
"82","Corbin Carroll","ARI","LF","86","88","87.0"
"83","Logan Webb","SF","SP","111","69","90.0"
"84","Carlos Correa","MIN","SS","104","77","90.5"
"85","Felix Bautista","BAL","RP","78","105","91.5"
"86","Eloy Jimenez","CWS","LF,DH","81","102","91.5"
"87","Teoscar Hernandez","SEA","RF","61","124","92.5"
"88","Nestor Cortes Jr.","NYY","SP","102","84","93.0"
"89","Ryan Helsley","STL","RP","69","119","94.0"
"90","Salvador Perez","KC","C,DH","67","122","94.5"
"91","Steven Kwan","CLE","LF,RF","119","73","96.0"
"92","Starling Marte","NYM","RF","59","135","97.0"
"93","Kyle Wright","ATL","SP","106","89","97.5"
"94","Clayton Kershaw","LAD","SP","88","109","98.5"
"95","Gunnar Henderson","BAL","3B,SS","91","108","99.5"
"96","Blake Snell","SD","SP","123","78","100.5"
"97","Logan Gilbert","SEA","SP","121","81","101.0"
"98","Oneil Cruz","PIT","SS","75","129","102.0"
"99","Rhys Hoskins","PHI","1B","113","91","102.0"
"100","Willy Adames","MIL","SS","98","106","102.0"
"101","Kenley Jansen","BOS","RP","85","123","104.0"
"102","Anthony Santander","BAL","LF,RF,DH","134","75","104.5"
"103","Adolis Garcia","TEX","CF,RF,DH","66","147","106.5"
"104","Luis Severino","NYY","SP","101","114","107.5"
"105","MJ Melendez","KC","C,LF,RF,DH","115","103","109.0"
"106","Kris Bryant","COL","LF","127","100","113.5"
"107","Camilo Doval","SF","RP","94","139","116.5"
"108","Alejandro Kirk","TOR","C,DH","129","104","116.5"
"109","Chris Bassitt","TOR","SP","137","97","117.0"
"110","Nathaniel Lowe","TEX","1B","114","120","117.0"
"111","Jake Cronenworth","SD","1B,2B,SS","155","82","118.5"
"112","Lucas Giolito","CWS","SP","144","95","119.5"
"113","Nick Castellanos","PHI","RF","107","132","119.5"
"114","Nick Lodolo","CIN","SP","142","98","120.0"
"115","Anthony Rizzo","NYY","1B","125","115","120.0"
"116","Pablo Lopez","MIN","SP","153","92","122.5"
"117","Tim Anderson","CWS","SS","73","173","123.0"
"118","Christian Yelich","MIL","LF,DH","122","125","123.5"
"119","Willson Contreras","STL","C,DH","110","138","124.0"
"120","Andres Gimenez","CLE","2B,SS","95","154","124.5"
"121","Lance Lynn","CWS","SP","143","107","125.0"
"122","George Kirby","SEA","SP","136","117","126.5"
"123","Hunter Greene","CIN","SP","138","116","127.0"
"124","Byron Buxton","MIN","CF,DH","90","165","127.5"
"125","Gleyber Torres","NYY","2B","120","136","128.0"
"126","Charlie Morton","ATL","SP","161","99","130.0"
"127","Bryce Harper","PHI","RF,DH","100","164","132.0"
"128","Ty France","SEA","1B,3B","152","112","132.0"
"129","Tony Gonsolin","LAD","SP","128","137","132.5"
"130","Brandon Nimmo","NYM","CF","173","93","133.0"
"131","C.J. Cron","COL","1B,DH","126","140","133.0"
"132","Max Muncy","LAD","2B,3B,DH","139","127","133.0"
"133","Seiya Suzuki","CHC","RF","116","152","134.0"
"134","Taylor Ward","LAA","CF,RF","145","128","136.5"
"135","Jeremy Pena","HOU","SS","105","171","138.0"
"136","Christian Walker","ARI","1B","158","118","138.0"
"137","Josh Bell","CLE","1B,DH","188","90","139.0"
"138","Amed Rosario","CLE","SS,LF","150","130","140.0"
"139","Jeff McNeil","NYM","2B,LF,RF","170","111","140.5"
"140","Scott Barlow","KC","RP","118","163","140.5"
"141","Giancarlo Stanton","NYY","RF,DH","108","177","142.5"
"142","Luis Arraez","MIA","1B,2B,DH","203","83","143.0"
"143","Freddy Peralta","MIL","SP","135","157","146.0"
"144","Joe Ryan","MIN","SP","149","143","146.0"
"145","Tyler O'Neill","STL","LF,CF","103","191","147.0"
"146","Jose Miranda","MIN","1B,3B,DH","160","141","150.5"
"147","Brady Singer","KC","SP","182","121","151.5"
"148","Sean Murphy","ATL","C,DH","172","131","151.5"
"149","Jorge Polanco","MIN","2B","157","146","151.5"
"150","Chris Sale","BOS","SP","159","145","152.0"
"151","Brandon Lowe","TB","2B","146","158","152.0"
"152","Jake McCarthy","ARI","LF,CF,RF","109","196","152.5"
"153","David Bednar","PIT","RP","112","194","153.0"
"154","Clay Holmes","NYY","RP","117","189","153.0"
"155","Andrew Vaughn","CWS","1B,LF,RF,DH","147","160","153.5"
"156","Daniel Bard","COL","RP","130","186","158.0"
"157","Matt Chapman","TOR","3B","169","148","158.5"
"158","Andres Munoz","SEA","RP","151","166","158.5"
"159","Jordan Montgomery","STL","SP","192","126","159.0"
"160","DJ LeMahieu","NYY","1B,2B,3B","165","153","159.0"
"161","Jesus Luzardo","MIA","SP","140","179","159.5"
"162","Alexis Diaz","CIN","RP","124","200","162.0"
"163","Jeffrey Springs","TB","SP,RP","168","161","164.5"
"164","Masataka Yoshida","BOS","LF","230","101","165.5"
"165","Whit Merrifield","TOR","2B,CF,RF","131","202","166.5"
"166","Drew Rasmussen","TB","SP","178","156","167.0"
"167","Vaughn Grissom","ATL","2B","176","159","167.5"
"168","Jhoan Duran","MIN","RP","133","204","168.5"
"169","Hunter Renfroe","LAA","RF","162","176","169.0"
"170","Alex Verdugo","BOS","LF,RF","195","144","169.5"
"171","William Contreras","MIL","C,DH","148","193","170.5"
"172","Eugenio Suarez","SEA","3B","141","201","171.0"
"173","J.D. Martinez","LAD","DH","191","151","171.0"
"174","Mitch Haniger","SF","RF","132","213","172.5"
"175","Ryan Mountcastle","BAL","1B,DH","167","180","173.5"
"176","Ian Happ","CHC","LF","166","182","174.0"
"177","Rowdy Tellez","MIL","1B","207","150","178.5"
"178","Jose Berrios","TOR","SP","217","142","179.5"
"179","Dustin May","LAD","SP","156","205","180.5"
"180","Kodai Senga","NYM","SP","193","168","180.5"
"181","Brandon Drury","LAA","1B,2B,3B,DH","171","190","180.5"
"182","Lance McCullers Jr.","HOU","SP","186","175","180.5"
"183","Tyler Stephenson","CIN","C","175","188","181.5"
"184","Ketel Marte","ARI","2B,DH","231","133","182.0"
"185","Paul Sewald","SEA","RP","174","199","186.5"
"186","Alec Bohm","PHI","1B,3B","202","181","191.5"
"187","Jon Gray","TEX","SP","222","162","192.0"
"188","Justin Turner","BOS","3B,DH","219","170","194.5"
"189","Cody Bellinger","CHC","CF","179","215","197.0"
"190","Ke'Bryan Hayes","PIT","3B","180","214","197.0"
"191","Oscar Gonzalez","CLE","RF","187","211","199.0"
"192","Anthony Rendon","LAA","3B","206","192","199.0"
"193","Javier Baez","DET","SS","181","219","200.0"
"194","Nico Hoerner","CHC","SS","214","187","200.5"
"195","Jonathan India","CIN","2B","196","210","203.0"
"196","Grayson Rodriguez","BAL","SP","177","231","204.0"
"197","Thairo Estrada","SF","2B,SS,LF","200","208","204.0"
"198","Pete Fairbanks","TB","RP","185","224","204.5"
"199","Craig Kimbrel","PHI","RP","197","216","206.5"
"200","Harrison Bader","NYY","CF","198","220","209.0"
"201","Tyler Anderson","LAA","SP","237","183","210.0"
"202","Keibert Ruiz","WSH","C","249","172","210.5"
"203","Miles Mikolas","STL","SP","216","206","211.0"
"204","Joey Meneses","WSH","1B,RF","184","243","213.5"
"205","Adam Wainwright","STL","SP","213","218","215.5"
"206","Kendall Graveman","CWS","RP","227","207","217.0"
"207","Jose Leclerc","TEX","RP","189","247","218.0"
"208","Cal Raleigh","SEA","C","201","235","218.0"
"209","Andrew Heaney","TEX","SP","233","212","222.5"
"210","Riley Greene","DET","CF","211","236","223.5"
"211","Lars Nootbaar","STL","LF,CF,RF","208","240","224.0"
"212","Liam Hendriks","CWS","RP","164","290","227.0"
"213","Giovanny Gallegos","STL","RP","226","237","231.5"
"214","Jorge Lopez","MIN","RP","204","261","232.5"
"215","Edward Cabrera","MIA","SP","205","260","232.5"
"216","Jose Urquidy","HOU","SP","223","246","234.5"
"217","Evan Phillips","LAD","RP","235","238","236.5"
"218","Aroldis Chapman","KC","RP","236","244","240.0"
"219","Josh Jung","TEX","3B","240","241","240.5"
"220","John Schreiber","BOS","RP","190","298","244.0"
"221","Cal Quantrill","CLE","SP","268","222","245.0"
"222","Gavin Lux","LAD","2B,LF","267","225","246.0"
"223","Seranthony Dominguez","PHI","RP","224","279","251.5"
"224","Jason Adam","TB","RP","273","230","251.5"
"225","Merrill Kelly","ARI","SP","356","149","252.5"
"226","Josh Naylor","CLE","1B,RF,DH","328","178","253.0"
"227","Triston Casas","BOS","1B","322","184","253.0"
"228","Patrick Sandoval","LAA","SP","304","203","253.5"
"229","Sonny Gray","MIN","SP","256","252","254.0"
"230","Adalberto Mondesi","BOS","SS","209","304","256.5"
"231","Michael Brantley","HOU","LF,DH","254","259","256.5"
"232","Travis d'Arnaud","ATL","C","260","254","257.0"
"233","Andrew Benintendi","CWS","LF","290","227","258.5"
"234","Jose Trevino","NYY","C","244","274","259.0"
"235","A.J. Minter","ATL","RP","296","223","259.5"
"236","Trevor Story","BOS","2B","183","340","261.5"
"237","Ranger Suarez","PHI","SP","326","198","262.0"
"238","Frankie Montas","NYY","SP","248","278","263.0"
"239","Jon Berti","MIA","2B,3B,SS,LF","215","314","264.5"
"240","J.P. Crawford","SEA","SS","246","285","265.5"
"241","Hunter Brown","HOU","SP,RP","261","273","267.0"
"242","Walker Buehler","LAD","SP","163","373","268.0"
"243","Alex Lange","DET","RP","218","318","268.0"
"244","Gregory Soto","PHI","RP","241","295","268.0"
"245","Garrett Whitlock","BOS","SP,RP","266","271","268.5"
"246","Ross Stripling","SF","SP,RP","283","256","269.5"
"247","Sean Manaea","SF","SP","355","185","270.0"
"248","Josh Rojas","ARI","2B,3B","309","232","270.5"
"249","Adam Duvall","BOS","LF,CF,RF","295","248","271.5"
"250","Nathan Eovaldi","TEX","SP","379","167","273.0"
"251","Yandy Diaz","TB","1B,3B","415","134","274.5"
"252","Brendan Donovan","STL","1B,2B,3B,SS,LF,RF","293","257","275.0"
"253","Jack Flaherty","STL","SP","332","221","276.5"
"254","Andrew McCutchen","PIT","LF,RF,DH","308","251","279.5"
"255","Corey Kluber","BOS","SP","292","267","279.5"
"256","Christian Vazquez","MIN","C,1B","276","289","282.5"
"257","Brandon Crawford","SF","SS","263","307","285.0"
"258","Jameson Taillon","CHC","SP","362","209","285.5"
"259","Taylor Rogers","SF","RP","228","343","285.5"
"260","David Robertson","NYM","RP","242","330","286.0"
"261","Trevor Bauer","","SP","245","327","286.0"
"262","Martin Perez","TEX","SP","346","228","287.0"
"263","Gary Sanchez","","C,DH","259","321","290.0"
"264","Esteury Ruiz","OAK","LF","312","268","290.0"
"265","Noah Syndergaard","LAD","SP","339","242","290.5"
"266","Spencer Torkelson","DET","1B","311","270","290.5"
"267","Luis Urias","MIL","2B,3B,SS","365","217","291.0"
"268","Miguel Vargas","LAD","1B","333","249","291.0"
"269","Kike Hernandez","BOS","2B,SS,CF","306","276","291.0"
"270","Tyler Mahle","MIN","SP","433","155","294.0"
"271","Rafael Montero","HOU","RP","302","286","294.0"
"272","Trey Mancini","CHC","1B,LF,RF,DH","303","287","295.0"
"273","Jesse Winker","MIL","LF","366","226","296.0"
"274","Yasmani Grandal","CWS","C,DH","299","294","296.5"
"275","Brendan Rodgers","COL","2B","426","169","297.5"
"276","Adam Frazier","BAL","2B,LF,RF","275","320","297.5"
"277","Alex Cobb","SF","SP","423","174","298.5"
"278","Mark Melancon","ARI","RP","194","407","300.5"
"279","Joey Votto","CIN","1B","286","315","300.5"
"280","Josh Donaldson","NYY","3B,DH","313","291","302.0"
"281","Marcell Ozuna","ATL","LF,DH","287","322","304.5"
"282","Charlie Blackmon","COL","RF,DH","305","305","305.0"
"283","Francisco Alvarez","NYM","C,DH","232","380","306.0"
"284","Gabriel Moreno","ARI","C","358","255","306.5"
"285","Mike Yastrzemski","SF","CF,RF","335","282","308.5"
"286","Robert Suarez","SD","RP","250","368","309.0"
"287","Danny Jansen","TOR","C","422","197","309.5"
"288","Ryan McMahon","COL","2B,3B","327","292","309.5"
"289","Austin Meadows","DET","LF,RF","343","277","310.0"
"290","Jonathan Loaisiga","NYY","RP","238","383","310.5"
"291","Mike Clevinger","CWS","SP","277","348","312.5"
"292","Michael Kopech","CWS","SP","377","250","313.5"
"293","Yuli Gurriel","","1B","199","429","314.0"
"294","Wilmer Flores","SF","1B,2B,3B,DH","396","233","314.5"
"295","Johnny Cueto","MIA","SP","274","355","314.5"
"296","Taijuan Walker","PHI","SP","347","284","315.5"
"297","Oscar Colas","CWS","CF","368","265","316.5"
"298","Collin McHugh","ATL","RP","269","364","316.5"
"299","Austin Nola","SD","C","337","296","316.5"
"300","Jonathan Schoop","DET","2B","243","392","317.5"
"301","Dylan Floro","MIA","RP","371","266","318.5"
"302","Austin Hays","BAL","LF,RF","404","234","319.0"
"303","Jose Quintana","NYM","SP","378","264","321.0"
"304","Will Smith","","RP","210","477","343.5"
"305","Carlos Carrasco","NYM","SP","384","262","323.0"
"306","Tyler Rogers","SF","RP","253","394","323.5"
"307","Eric Hosmer","CHC","1B","272","377","324.5"
"308","Jared Walsh","LAA","1B","288","362","325.0"
"309","Aaron Civale","CLE","SP","300","351","325.5"
"310","Mark Canha","NYM","LF,CF","359","293","326.0"
"311","Dylan Carlson","STL","CF,RF","345","308","326.5"
"312","Hector Neris","HOU","RP","318","337","327.5"
"313","Joc Pederson","SF","LF,RF","394","263","328.5"
"314","Nicky Lopez","KC","2B,3B,SS","281","376","328.5"
"315","Chris Taylor","LAD","2B,LF,CF,RF","348","310","329.0"
"316","Marcus Stroman","CHC","SP","421","239","330.0"
"317","CJ Abrams","WSH","2B,SS","418","245","331.5"
"318","Andrew Painter","PHI","SP","375","288","331.5"
"319","Joey Gallo","MIN","LF,RF","315","352","333.5"
"320","Tanner Houck","BOS","SP,RP","270","398","334.0"
"321","Wil Myers","CIN","1B,LF,RF","397","272","334.5"
"322","Aaron Ashby","MIL","SP,RP","234","480","357.0"
"323","Shintaro Fujinami","OAK","SP,RP","271","401","336.0"
"324","Hunter Dozier","KC","1B,3B,LF,RF,DH","325","347","336.0"
"325","Christopher Morel","CHC","2B,3B,SS,CF","316","357","336.5"
"326","Domingo German","NYY","SP","319","354","336.5"
"327","James Karinchak","CLE","RP","329","346","337.5"
"328","Bryson Stott","PHI","2B,SS","425","253","339.0"
"329","Eduardo Escobar","NYM","3B","367","312","339.5"
"330","Jean Segura","MIA","2B","424","258","341.0"
"331","Diego Castillo","SEA","RP","247","439","343.0"
"332","Ha-Seong Kim","SD","3B,SS","400","283","341.5"
"333","Eduardo Rodriguez","DET","SP","351","333","342.0"
"334","Brandon Marsh","PHI","LF,CF","342","342","342.0"
"335","Jordan Walker","STL","3B","416","269","342.5"
"336","Eric Haase","DET","C,LF","314","372","343.0"
"337","Ezequiel Tovar","COL","SS","413","275","344.0"
"338","Joey Wendle","MIA","2B,3B,SS","354","334","344.0"
"339","Nick Pivetta","BOS","SP","408","281","344.5"
"340","Seth Brown","OAK","1B,LF,CF,RF","412","280","346.0"
"341","Hyun Jin Ryu","TOR","SP","258","456","357.0"
"342","Jonah Heim","TEX","C","392","302","347.0"
"343","Michael Wacha","SD","SP","395","300","347.5"
"344","Chris Flexen","SEA","SP,RP","264","496","380.0"
"345","Yoan Moncada","CWS","3B","383","317","350.0"
"346","Trent Grisham","SD","CF","331","370","350.5"
"347","Santiago Espinal","TOR","2B,3B,SS","297","405","351.0"
"348","Adam Ottavino","NYM","RP","282","421","351.5"
"349","Michael Conforto","SF","LF,RF","380","325","352.5"
"350","Oswaldo Cabrera","NYY","LF,RF","393","313","353.0"
"351","Zach Eflin","TB","SP,RP","341","369","355.0"
"352","Oswald Peraza","NYY","SS","414","297","355.5"
"353","Joey Bart","SF","C","321","390","355.5"
"354","Ian Anderson","ATL","SP","278","491","384.5"
"355","Cavan Biggio","TOR","1B,2B,RF","285","430","357.5"
"356","Nolan Gorman","STL","2B","280","443","361.5"
"357","Lourdes Gurriel Jr.","ARI","LF","387","331","359.0"
"358","Kenta Maeda","MIN","SP","340","378","359.0"
"359","German Marquez","COL","SP","391","328","359.5"
"360","Luis Garcia","WSH","2B,SS","390","329","359.5"
"361","Reid Detmers","LAA","SP","417","303","360.0"
"362","Patrick Wisdom","CHC","1B,3B,RF","344","379","361.5"
"363","Christian Arroyo","BOS","1B,2B,3B,SS,RF","289","445","367.0"
"364","Jorge Mateo","BAL","SS","419","309","364.0"
"365","Kolten Wong","SEA","2B","428","301","364.5"
"366","Brandon Belt","TOR","1B","294","467","380.5"
"367","Michael King","NYY","RP","382","350","366.0"
"368","Brayan Bello","BOS","SP","349","384","366.5"
"369","Brandon Hughes","CHC","RP","324","410","367.0"
"370","Gio Urshela","LAA","3B","398","336","367.0"
"371","Garrett Mitchell","MIL","CF","310","426","368.0"
"372","Mike Soroka","ATL","SP","410","332","371.0"
"373","Kyle Farmer","MIN","3B,SS","307","460","383.5"
"374","Nelson Cruz","SD","DH","361","386","373.5"
"375","Juan Yepez","STL","1B,LF,RF","317","485","401.0"
"376","Justin Steele","CHC","SP","429","324","376.5"
"377","Myles Straw","CLE","CF","320","452","386.0"
"378","Isiah Kiner-Falefa","NYY","SS","385","371","378.0"
"379","Anthony Volpe","NYY","SS","374","382","378.0"
"380","Kyle Finnegan","WSH","RP","370","389","379.5"
"381","Carlos Estevez","LAA","RP","334","427","380.5"
"382","Luis Rengifo","LAA","2B,3B,SS","403","358","380.5"
"383","Trevor May","OAK","RP","350","484","417.0"
"384","Roansy Contreras","PIT","SP","407","385","396.0"
"385","Dylan Moore","SEA","2B,SS,LF,CF,RF","363","499","431.0"
"386","Eric Lauer","MIL","SP","435","366","400.5"
"387","Randal Grichuk","COL","CF,RF","372","489","430.5"
"388","Harold Ramirez","TB","1B,RF,DH","376","473","424.5"
"389","Logan O'Hoppe","LAA","C","427","388","407.5"
"390","Ramon Laureano","OAK","CF,RF","430","387","408.5"
"391","Lou Trivino","NYY","RP","386","447","416.5"
"392","Jarred Kelenic","SEA","CF,RF","388","458","423.0"
"393","Jorge Soler","MIA","LF","405","419","412.0"
"394","Brusdar Graterol","LAD","RP","411","415","413.0"
"395","Elly De La Cruz","CIN","3B,SS","399","428","413.5"
"396","Bryan De La Cruz","MIA","LF,CF,RF","431","397","414.0"
"397","Jimmy Herget","LAA","RP","406","500","453.0"
"398","Trevor Rogers","MIA","SP","420","422","421.0"
""
""
