Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Andrew McCutchen_OF_1132_pts,Kyle Gibson_P_820_pts,Brandon Nimmo_OF_1122_pts,George Springer_OF_1115_pts,Adolis García_OF_1112_pts,Jordan Montgomery_P_818_pts,Seiya Suzuki_OF_1093_pts,Clayton Kershaw_P_816_pts,Masataka Yoshida_OF_1066_pts,Jake McCarthy_OF_1060_pts,Anthony Santander_OF_1059_pts,George Kirby_P_812_pts
Joey Gallo_OF_976_pts,Jazz Chisholm Jr._IF_1199_pts,Tommy Pham_OF_1004_pts,Mike Yastrzemski_OF_1007_pts,Trent Grisham_OF_1016_pts,Gunnar Henderson_IF_1203_pts,Robbie Grossman_OF_1018_pts,Jesse Winker_OF_1019_pts,Enrique Hernández_OF_1022_pts,Hunter Renfroe_OF_1049_pts,Nelson Cruz_OF_1057_pts,Jorge Polanco_IF_1205_pts
AJ Pollock_OF_974_pts,Max Muncy_IF_1198_pts,Daulton Varsho_OF_970_pts,Andrew Vaughn_IF_1195_pts,Bryce Harper_OF_966_pts,J.T. Realmuto_IF_1188_pts,Giancarlo Stanton_OF_956_pts,Vinnie Pasquantino_IF_1184_pts,Austin Hays_OF_956_pts,Anthony Rizzo_IF_1172_pts,Charlie Blackmon_OF_956_pts,Seth Brown_OF_943_pts
Trey Mancini_OF_890_pts,Dylan Carlson_OF_895_pts,Oswaldo Cabrera_OF_896_pts,Jake Fraley_OF_899_pts,Cody Bellinger_OF_900_pts,Christian Walker_IF_1150_pts,Joc Pederson_OF_901_pts,Alex Bregman_IF_1160_pts,Franmil Reyes_OF_918_pts,Josh Bell_IF_1166_pts,David Peralta_OF_936_pts,Lourdes Gurriel Jr._OF_943_pts
Myles Straw_OF_890_pts,Martín Pérez_P_808_pts,Adam Duvall_OF_871_pts,Jameson Taillon_P_792_pts,Max Kepler_OF_864_pts,Luis Severino_P_788_pts,Marcell Ozuna_OF_863_pts,Kerry Carpenter_OF_858_pts,Raimel Tapia_OF_857_pts,Andrew Benintendi_OF_843_pts,Luis Robert Jr._OF_833_pts,Oneil Cruz_IF_1143_pts
DJ LeMahieu_IF_1114_pts,Kyle Lewis_OF_819_pts,Jeremy Peña_IF_1120_pts,Jesús Luzardo_P_787_pts,Ryan McMahon_IF_1120_pts,TJ Friedl_OF_825_pts,Nathaniel Lowe_IF_1124_pts,Matt Chapman_IF_1126_pts,Ty France_IF_1132_pts,Randal Grichuk_OF_828_pts,Adley Rutschman_IF_1134_pts,Garrett Mitchell_OF_831_pts
Salvador Perez_IF_1112_pts,Taijuan Walker_P_783_pts,Justin Turner_IF_1111_pts,C.J. Cron_IF_1105_pts,Will Smith_IF_1103_pts,Anthony Rendon_IF_1094_pts,MJ Melendez_IF_1090_pts,Miguel Cabrera_OF_798_pts,Triston Casas_IF_1082_pts,Jorge Soler_OF_784_pts,Ryan Mountcastle_IF_1081_pts,Wander Franco_IF_1072_pts
Jose Miranda_IF_1034_pts,Cal Quantrill_P_760_pts,Eduardo Escobar_IF_1039_pts,Kenta Maeda_P_763_pts,César Hernández_IF_1043_pts,J.P. Crawford_IF_1048_pts,Rowdy Tellez_IF_1057_pts,Justin Steele_P_778_pts,Javier Báez_IF_1069_pts,Kyle Bradish_P_779_pts,Amed Rosario_IF_1069_pts,Avisaíl García_OF_784_pts
Vaughn Grissom_IF_1026_pts,Brandon Drury_IF_1024_pts,Oswald Peraza_IF_1022_pts,Aledmys Díaz_OF_783_pts,Luis Urías_IF_1020_pts,Eduardo Rodriguez_P_758_pts,Willson Contreras_IF_1019_pts,Ezequiel Tovar_IF_1016_pts,Carlos Santana_IF_1015_pts,Kodai Senga_P_756_pts,Chris Taylor_IF_1011_pts,Ramón Laureano_OF_771_pts
Isiah Kiner-Falefa_IF_986_pts,Kolten Wong_IF_986_pts,Jeff McNeil_IF_986_pts,Grayson Rodriguez_P_739_pts,Gleyber Torres_IF_991_pts,Sonny Gray_P_749_pts,Yandy Díaz_IF_995_pts,Alex Cobb_P_749_pts,Andrés Giménez_IF_1000_pts,Hayden Wesneski_P_755_pts,Adam Frazier_IF_1001_pts,Marco Gonzales_P_755_pts
