,playerid,Name,Team,pr,rank,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,WHIP,ERA,SVHD
700,18401,Ronald Acuña Jr.,ATL,12.42995024,13,38,2.030443131,2.229446107,1.473638638,1.898347743,1.730339595,3.067735029,NA,NA,NA,NA,NA,NA
796,19374,Walker Buehler,LAD,12.31722335,7,13,NA,NA,NA,NA,NA,NA,2.796604482,3.706427867,2.900332038,2.033367784,1.550269419,-0.669778238
759,19251,Pete Alonso,NYM,12.15707846,14,42,1.75497193,2.933185409,2.416202108,2.195303551,0.736639163,2.120776301,NA,NA,NA,NA,NA,NA
861,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
862,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
865,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
866,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
867,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
868,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
871,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
872,19755,Shohei Ohtani,LAA,11.99661439,15,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
76,11486,Robbie Ray,SEA,11.67768074,8,18,NA,NA,NA,NA,NA,NA,2.558804869,2.993506766,3.606367933,1.766558172,1.422221239,-0.669778238
689,18345,Kyle Tucker,HOU,11.58131157,16,16,1.686104129,2.128911921,2.032194769,1.973321255,1.640003192,2.120776301,NA,NA,NA,NA,NA,NA
718,18684,Sandy Alcantara,MIA,11.5152223,9,40,NA,NA,NA,NA,NA,NA,2.839840776,3.706427867,2.643591712,1.499748561,1.495391627,-0.669778238
90,11737,Nick Castellanos,PHI,11.45071353,17,47,1.89270753,2.128911921,2.032194769,1.960791382,1.640003192,1.796104737,NA,NA,NA,NA,NA,NA
23,10310,Zack Wheeler,PHI,11.39003211,10,39,NA,NA,NA,NA,NA,NA,2.623659309,3.231147133,2.707776793,1.855494709,1.641732405,-0.669778238
834,19612,Bo Bichette,TOR,11.3829976,18,22,2.271480432,1.626240992,1.857645978,1.911119761,2.136853408,1.579657027,NA,NA,NA,NA,NA,NA
1174,3548,Liam Hendriks,CHW,11.25619754,11,43,NA,NA,NA,NA,NA,NA,0.180808741,-0.571098736,0.86780446,3.812098528,3.141725376,3.824859175
80,11493,Manny Machado,SDP,11.22713151,19,17,1.75497193,2.128911921,2.206743559,1.962236871,1.459330386,1.714936846,NA,NA,NA,NA,NA,NA
407,15474,Lucas Giolito,CHW,11.22042208,12,28,NA,NA,NA,NA,NA,NA,2.602041163,2.993506766,3.199862417,1.855494709,1.239295266,-0.669778238
163,12856,George Springer,TOR,11.11995534,20,62,2.030443131,2.430514479,1.683097187,1.924284293,0.917311969,2.134304282,NA,NA,NA,NA,NA,NA
1315,9218,Paul Goldschmidt,STL,11.10125215,21,45,1.961575331,1.927843549,1.787826462,2.109875501,1.504498588,1.809632719,NA,NA,NA,NA,NA,NA
463,16149,Aaron Nola,PHI,11.05051547,13,24,NA,NA,NA,NA,NA,NA,2.645277456,2.7558664,3.242652472,1.855494709,1.221002669,-0.669778238
250,13743,Max Fried,ATL,10.99897362,14,51,NA,NA,NA,NA,NA,NA,2.580423016,3.4687875,2.493826522,1.410812023,1.714902794,-0.669778238
291,14212,Josh Hader,MIL,10.97135422,15,36,NA,NA,NA,NA,NA,NA,0.072718007,-0.571098736,0.931989542,3.278479305,3.434406932,3.824859175
117,12161,Xander Bogaerts,BOS,10.9546589,22,35,1.89270753,1.525706806,1.787826462,2.009660746,1.956180602,1.782576755,NA,NA,NA,NA,NA,NA
276,14107,Kevin Gausman,TOR,10.82488871,16,32,NA,NA,NA,NA,NA,NA,2.49395043,2.993506766,2.857541983,1.855494709,1.294173058,-0.669778238
780,19326,Bryan Reynolds,PIT,10.76282,23,57,1.617236329,1.42517262,1.648187429,2.108074827,1.9110124,2.053136391,NA,NA,NA,NA,NA,NA
939,20043,Luis Robert,CHW,10.7227501,24,70,1.686104129,1.827309364,1.718006945,1.797740505,1.9110124,1.782576755,NA,NA,NA,NA,NA,NA
295,14309,Frankie Montas,OAK,10.55171362,17,48,NA,NA,NA,NA,NA,NA,2.558804869,2.993506766,2.836146956,1.410812023,1.422221239,-0.669778238
186,13066,Teoscar Hernández,TOR,10.39529019,25,94,1.720538029,2.329980293,2.136924043,1.643014131,1.052816573,1.512017118,NA,NA,NA,NA,NA,NA
717,18679,Freddy Peralta,MIL,10.3830695,18,44,NA,NA,NA,NA,NA,NA,2.191296377,2.518226033,3.157072363,1.855494709,1.330758253,-0.669778238
1240,6184,J.D. Martinez,BOS,10.37997065,26,75,1.617236329,1.827309364,1.997285011,1.863152846,1.414162185,1.660824918,NA,NA,NA,NA,NA,NA
177,12970,Joe Musgrove,SDP,10.35414461,19,55,NA,NA,NA,NA,NA,NA,2.515568576,2.7558664,2.814751929,1.588685098,1.34905085,-0.669778238
288,14168,José Berríos,TOR,10.28294939,20,41,NA,NA,NA,NA,NA,NA,2.796604482,2.993506766,2.857541983,1.321875486,0.983198906,-0.669778238
733,18882,Brandon Lowe,TBR,10.19737132,27,103,1.82383973,2.329980293,1.892555736,1.758340522,0.555966358,1.836688682,NA,NA,NA,NA,NA,NA
1198,4949,Giancarlo Stanton,NYY,10.18069365,28,97,1.376199028,2.329980293,2.032194769,1.733487113,0.872143768,1.836688682,NA,NA,NA,NA,NA,NA
1132,2520,Lance Lynn,CHW,10.17707064,21,69,NA,NA,NA,NA,NA,NA,2.537186723,2.7558664,2.814751929,1.499748561,1.239295266,-0.669778238
241,13624,Corey Seager,TEX,10.12757746,29,37,1.445066828,1.324638434,1.613277671,1.739637,2.046517005,1.958440519,NA,NA,NA,NA,NA,NA
515,16556,Ozzie Albies,ATL,10.12106269,30,26,2.099310931,1.726775178,1.82273622,1.771677281,1.323825782,1.3767373,NA,NA,NA,NA,NA,NA
401,15429,Kris Bryant,COL,10.09897898,31,53,1.78940583,1.525706806,1.578367913,1.918647871,1.368993983,1.917856573,NA,NA,NA,NA,NA,NA
340,14765,Julio Urías,LAD,10.03376635,22,23,NA,NA,NA,NA,NA,NA,2.472332283,2.518226033,2.451036468,1.766558172,1.495391627,-0.669778238
692,18360,Austin Riley,ATL,10.02537799,32,73,1.548368529,1.927843549,1.927465494,1.731745586,1.323825782,1.566129046,NA,NA,NA,NA,NA,NA
428,15676,José Abreu,CHW,9.963201222,33,65,1.651670229,1.927843549,2.241653317,1.811760382,1.007648372,1.322625373,NA,NA,NA,NA,NA,NA
237,13613,Ketel Marte,ARI,9.817805976,34,46,1.548368529,1.123570062,1.43872888,1.832651758,2.22718981,1.647296937,NA,NA,NA,NA,NA,NA
189,13145,Josh Bell,WSN,9.717018448,35,76,1.479500728,1.827309364,1.927465494,1.76910137,1.052816573,1.660824918,NA,NA,NA,NA,NA,NA
504,16472,Rhys Hoskins,PHI,9.6594019,36,120,1.651670229,2.430514479,1.82273622,1.791261024,-0.076388462,2.03960841,NA,NA,NA,NA,NA,NA
445,15873,Sean Manaea,OAK,9.631932697,23,100,NA,NA,NA,NA,NA,NA,2.36424155,2.7558664,2.301271278,1.677621635,1.202710072,-0.669778238
654,17995,Logan Webb,SFG,9.626303223,24,58,NA,NA,NA,NA,NA,NA,2.342623403,2.7558664,2.215691169,1.321875486,1.660025002,-0.669778238
187,13074,Yu Darvish,SDP,9.603833668,25,56,NA,NA,NA,NA,NA,NA,2.36424155,2.518226033,2.771961875,1.855494709,0.763687739,-0.669778238
505,16478,Kyle Schwarber,PHI,9.558140151,37,105,1.686104129,2.531048665,1.648187429,1.706883486,0.013947941,1.9719685,NA,NA,NA,NA,NA,NA
322,14566,Franmil Reyes,CLE,9.474212683,38,145,1.307331227,2.430514479,2.102014285,1.579897198,0.555966358,1.498489136,NA,NA,NA,NA,NA,NA
140,12546,C.J. Cron,COL,9.456765957,39,144,1.169595627,1.827309364,1.752916704,1.614294495,1.188321178,1.904328591,NA,NA,NA,NA,NA,NA
592,17484,Eloy Jiménez,CHW,9.443994702,40,92,1.238463427,2.028377735,1.927465494,1.567237202,1.27865758,1.403793264,NA,NA,NA,NA,NA,NA
231,13590,Jesse Winker,SEA,9.354501079,41,87,1.445066828,1.525706806,1.299089848,1.725562876,1.414162185,1.944912537,NA,NA,NA,NA,NA,NA
1114,23667,Wander Franco,TBR,9.341401644,42,19,1.78940583,0.721433318,1.508548397,1.749727209,2.182021609,1.390265282,NA,NA,NA,NA,NA,NA
287,14162,Carlos Correa,MIN,9.325981121,43,52,1.651670229,1.42517262,1.683097187,1.752669892,1.368993983,1.444377209,NA,NA,NA,NA,NA,NA
1221,5417,Jose Altuve,HOU,9.260996426,44,33,2.030443131,1.42517262,1.368909364,1.67698726,1.504498588,1.254985463,NA,NA,NA,NA,NA,NA
1270,7304,Salvador Perez,KCR,9.244379011,45,49,1.238463427,2.329980293,2.136924043,1.434353724,0.917311969,1.187345554,NA,NA,NA,NA,NA,NA
139,12533,Marcus Semien,TEX,9.222998313,46,30,1.961575331,1.927843549,1.613277671,1.782789063,0.736639163,1.200873536,NA,NA,NA,NA,NA,NA
1302,8700,Justin Verlander,HOU,9.185026894,26,115,NA,NA,NA,NA,NA,NA,1.672460858,2.280585666,2.108716034,2.389113933,1.403928641,-0.669778238
1190,4676,Charlie Morton,ATL,9.182079043,27,67,NA,NA,NA,NA,NA,NA,2.018351204,2.518226033,2.322666305,1.588685098,1.403928641,-0.669778238
744,19197,Will Smith,LAD,9.153512942,47,66,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,NA,NA,NA,NA,NA,NA
745,19197,Will Smith,LAD,9.153512942,47,198,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,NA,NA,NA,NA,NA,NA
746,19197,Will Smith,LAD,9.153512942,47,198,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,NA,NA,NA,NA,NA,NA
747,19197,Will Smith,LAD,9.153512942,47,66,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,NA,NA,NA,NA,NA,NA
1140,26410,Alek Manoah,TOR,9.150355841,28,79,NA,NA,NA,NA,NA,NA,2.126441937,2.518226033,2.493826522,1.588685098,1.092954489,-0.669778238
707,18525,Dylan Cease,CHW,9.123471417,29,72,NA,NA,NA,NA,NA,NA,2.321005257,2.280585666,3.114282309,0.966129337,1.111247086,-0.669778238
191,13164,Eduardo Rodriguez,DET,9.118436392,30,95,NA,NA,NA,NA,NA,NA,2.537186723,2.518226033,2.707776793,0.8771928,1.14783228,-0.669778238
1019,21032,Emmanuel Clase,CLE,9.098046949,31,63,NA,NA,NA,NA,NA,NA,0.137572447,-0.571098736,0.332928782,2.122304321,3.25148096,3.824859175
202,13301,Max Muncy,LAD,9.056023792,48,60,1.479500728,1.927843549,1.613277671,1.525804008,0.375293552,2.134304282,NA,NA,NA,NA,NA,NA
610,17678,Alex Bregman,HOU,9.044039734,49,31,1.548368529,1.324638434,1.613277671,1.767305188,1.143152976,1.647296937,NA,NA,NA,NA,NA,NA
462,16137,Carlos Rodón,SFG,9.040676464,32,86,NA,NA,NA,NA,NA,NA,1.758933444,2.042945299,2.429641441,1.855494709,1.623439808,-0.669778238
1090,22286,Trevor Rogers,MIA,9.017609805,33,128,NA,NA,NA,NA,NA,NA,2.148060084,2.280585666,2.493826522,1.232938949,1.531976822,-0.669778238
1329,9777,Nolan Arenado,STL,8.940589589,50,27,1.479500728,2.028377735,2.067104527,1.635597883,0.691470962,1.038537754,NA,NA,NA,NA,NA,NA
1314,9132,Nathan Eovaldi,BOS,8.92559479,34,77,NA,NA,NA,NA,NA,NA,2.29938711,2.518226033,2.365456359,1.410812023,1.001491503,-0.669778238
142,12564,Trevor Story,BOS,8.888378707,51,81,1.85827363,1.726775178,1.578367913,1.647585213,0.781807365,1.295569409,NA,NA,NA,NA,NA,NA
286,14161,Byron Buxton,MIN,8.886342122,52,109,1.513934628,1.827309364,1.229270331,1.218593773,1.233489379,1.863744646,NA,NA,NA,NA,NA,NA
387,15172,Tim Anderson,CHW,8.877272779,53,108,2.064877031,0.92250169,1.124541057,1.49940065,2.362694415,0.903257936,NA,NA,NA,NA,NA,NA
575,17295,Framber Valdez,HOU,8.789987396,35,118,NA,NA,NA,NA,NA,NA,2.450714136,2.993506766,2.215691169,0.432510114,1.367343447,-0.669778238
1187,4314,Joey Votto,CIN,8.787290356,54,124,1.410632928,1.827309364,1.613277671,1.678695172,0.555966358,1.701408864,NA,NA,NA,NA,NA,NA
714,18607,Jared Walsh,LAA,8.756383159,55,142,1.376199028,1.827309364,1.892555736,1.497190111,0.826975566,1.336153354,NA,NA,NA,NA,NA,NA
167,12861,Anthony Rendon,LAA,8.698835964,56,61,1.307331227,1.224104248,1.578367913,1.636022095,1.27865758,1.6743529,NA,NA,NA,NA,NA,NA
556,17130,Raisel Iglesias,LAA,8.685679353,36,74,NA,NA,NA,NA,NA,NA,0.137572447,-0.571098736,0.632459162,2.566987007,2.227095516,3.692663957
127,12304,Chris Bassitt,NYM,8.683790633,37,98,NA,NA,NA,NA,NA,NA,2.29938711,2.518226033,2.194296142,1.321875486,1.0197841,-0.669778238
1264,7005,Ryan Pressly,HOU,8.599691782,38,80,NA,NA,NA,NA,NA,NA,0.072718007,-0.571098736,0.354323809,2.389113933,2.794166029,3.560468739
1210,5235,Justin Turner,LAD,8.479535193,57,101,1.341765128,1.123570062,1.43872888,1.455091033,1.59483499,1.5255451,NA,NA,NA,NA,NA,NA
434,15711,Tyler O'Neill,STL,8.414780256,58,135,1.445066828,2.028377735,1.578367913,1.30392803,0.601134559,1.457905191,NA,NA,NA,NA,NA,NA
190,13152,Jorge Polanco,MIN,8.399571276,59,78,1.78940583,1.42517262,1.543458155,1.52748385,1.143152976,0.970897845,NA,NA,NA,NA,NA,NA
431,15689,Luis Castillo,CIN,8.365908752,39,54,NA,NA,NA,NA,NA,NA,2.29938711,2.7558664,2.386851386,0.610383189,0.983198906,-0.669778238
851,19709,Fernando Tatis Jr.,SDP,8.342968784,60,68,0.687521024,1.224104248,0.670714201,0.745882192,1.865844199,3.14890292,NA,NA,NA,NA,NA,NA
1121,2434,Nelson Cruz,WSN,8.339902886,61,137,1.135161727,1.827309364,1.648187429,1.358611463,0.872143768,1.498489136,NA,NA,NA,NA,NA,NA
552,17085,Pablo López,MIA,8.316792174,40,140,NA,NA,NA,NA,NA,NA,1.867024177,2.280585666,1.830580681,1.677621635,1.330758253,-0.669778238
696,18373,Ryan Mountcastle,BAL,8.274493391,62,166,1.376199028,1.927843549,1.718006945,1.441042475,0.826975566,0.984425827,NA,NA,NA,NA,NA,NA
1046,21523,Jonathan India,CIN,8.244872821,63,106,1.996009231,1.123570062,1.229270331,1.746422258,0.826975566,1.322625373,NA,NA,NA,NA,NA,NA
75,11477,Christian Yelich,MIL,8.237248169,64,88,1.651670229,1.123570062,1.229270331,1.586735964,1.052816573,1.593185009,NA,NA,NA,NA,NA,NA
360,14986,Giovanny Gallegos,STL,8.205558031,41,117,NA,NA,NA,NA,NA,NA,0.224045034,-0.571098736,0.504088999,2.744860081,2.007584349,3.296078303
982,2036,Clayton Kershaw,LAD,8.197924953,42,111,NA,NA,NA,NA,NA,NA,1.542751978,2.280585666,1.659420464,1.944431247,1.440513836,-0.669778238
859,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
860,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
863,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
864,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
869,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
870,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
873,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
874,19755,Shohei Ohtani,LAA,8.121630255,43,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.410812023,1.513684225,-0.669778238
27,10324,Marcell Ozuna,ATL,8.117537773,65,150,1.169595627,1.626240992,1.578367913,1.345419588,1.007648372,1.390265282,NA,NA,NA,NA,NA,NA
336,14710,Edwin Díaz,NYM,8.112471368,44,90,NA,NA,NA,NA,NA,NA,0.115954301,-0.571098736,0.760829325,2.033367784,2.080754738,3.692663957
293,14274,Mitch Haniger,SEA,8.023108564,66,96,1.686104129,1.927843549,1.648187429,1.49159048,0.284957149,0.984425827,NA,NA,NA,NA,NA,NA
1044,21483,Shane McClanahan,TBR,7.987666943,45,104,NA,NA,NA,NA,NA,NA,1.996733057,1.805304932,2.344061332,1.144002412,1.367343447,-0.669778238
172,12916,Francisco Lindor,NYM,7.909689664,67,50,1.75497193,1.525706806,1.543458155,1.540576334,0.601134559,0.943841881,NA,NA,NA,NA,NA,NA
475,16269,John Means,BAL,7.873766632,46,204,NA,NA,NA,NA,NA,NA,2.256150817,2.280585666,1.894765763,1.677621635,0.434420989,-0.669778238
1092,2233,Adam Wainwright,STL,7.824600204,47,154,NA,NA,NA,NA,NA,NA,2.385859696,2.7558664,1.659420464,0.966129337,0.727102545,-0.669778238
280,14128,Joey Gallo,NYY,7.801612851,68,156,1.686104129,2.732117037,1.82273622,1.556881273,-1.521770908,1.5255451,NA,NA,NA,NA,NA,NA
308,14444,Hyun Jin Ryu,TOR,7.72591766,48,141,NA,NA,NA,NA,NA,NA,2.191296377,2.518226033,1.723605545,1.144002412,0.818565531,-0.669778238
154,12768,Sonny Gray,MIN,7.706902206,49,134,NA,NA,NA,NA,NA,NA,2.148060084,2.280585666,2.215691169,0.8771928,0.855150725,-0.669778238
219,13431,Marcus Stroman,CHC,7.692235873,50,151,NA,NA,NA,NA,NA,NA,2.42909599,2.7558664,1.7663956,0.610383189,0.800272933,-0.669778238
772,19291,Zac Gallen,ARI,7.646110658,51,138,NA,NA,NA,NA,NA,NA,2.16967823,2.280585666,2.386851386,0.788256263,0.69051735,-0.669778238
460,16122,Jordan Romano,TOR,7.598919953,52,146,NA,NA,NA,NA,NA,NA,0.115954301,-0.571098736,0.504088999,1.766558172,2.355143696,3.428273521
1087,22267,Tarik Skubal,DET,7.540134384,53,168,NA,NA,NA,NA,NA,NA,2.083205644,2.042945299,2.429641441,1.055065875,0.599054364,-0.669778238
221,13449,Taylor Rogers,MIN,7.540086625,54,187,NA,NA,NA,NA,NA,NA,0.029481714,-0.571098736,0.397113864,2.033367784,2.355143696,3.296078303
1204,5038,Josh Donaldson,NYY,7.486579787,69,131,1.272897327,1.726775178,1.229270331,1.370551066,0.239788948,1.647296937,NA,NA,NA,NA,NA,NA
572,17282,Michael Kopech,CHW,7.452466885,55,132,NA,NA,NA,NA,NA,NA,1.499515685,1.092383832,2.194296142,1.321875486,1.221002669,0.12339307
549,17027,Alex Verdugo,BOS,7.433922323,70,116,1.617236329,0.41983076,0.984902024,1.466762525,2.001348803,0.943841881,NA,NA,NA,NA,NA,NA
508,16511,Jordan Montgomery,NYY,7.326246611,56,165,NA,NA,NA,NA,NA,NA,2.16967823,2.042945299,2.215691169,0.8771928,0.69051735,-0.669778238
354,14916,Jon Gray,TEX,7.318022004,57,183,NA,NA,NA,NA,NA,NA,2.36424155,2.280585666,2.279876251,0.610383189,0.452713586,-0.669778238
486,16376,Michael Conforto,,7.310581886,71,155,1.272897327,1.224104248,1.368909364,1.475742814,0.646302761,1.322625373,NA,NA,NA,NA,NA,NA
227,13543,Blake Snell,SDP,7.261404583,58,110,NA,NA,NA,NA,NA,NA,1.845406031,1.805304932,2.472431495,0.788256263,1.0197841,-0.669778238
426,15672,Austin Meadows,TBR,7.258953907,72,119,1.341765128,1.626240992,1.787826462,1.310546771,0.194620746,0.997953809,NA,NA,NA,NA,NA,NA
383,15149,Trey Mancini,BAL,7.245233406,73,174,1.341765128,1.324638434,1.368909364,1.475102723,0.872143768,0.86267399,NA,NA,NA,NA,NA,NA
484,16358,Tyler Mahle,CIN,7.238621361,59,93,NA,NA,NA,NA,NA,NA,2.29938711,2.280585666,2.558011603,0.610383189,0.160032031,-0.669778238
19,10233,Aroldis Chapman,NYY,7.231145045,60,83,NA,NA,NA,NA,NA,NA,0.072718007,-0.571098736,0.86780446,1.232938949,2.46489928,3.163883085
365,15038,Germán Márquez,COL,7.227185164,61,122,NA,NA,NA,NA,NA,NA,2.602041163,2.993506766,2.344061332,0.25463704,-0.297282899,-0.669778238
771,19290,Randy Arozarena,TBR,7.164148728,74,126,1.582802429,1.224104248,1.229270331,1.379850766,0.736639163,1.01148179,NA,NA,NA,NA,NA,NA
405,15464,Hunter Renfroe,MIL,7.144864399,75,161,1.307331227,2.128911921,1.683097187,1.1626549,-0.121556664,0.984425827,NA,NA,NA,NA,NA,NA
143,12572,Blake Treinen,LAD,7.121017507,62,112,NA,NA,NA,NA,NA,NA,0.159190594,-0.571098736,0.332928782,1.499748561,2.007584349,3.692663957
456,15986,Willy Adames,MIL,7.090276523,76,209,1.445066828,1.525706806,1.26418009,1.341986578,0.555966358,0.957369863,NA,NA,NA,NA,NA,NA
21,10264,Brandon Belt,SFG,7.074823204,77,247,1.169595627,1.525706806,1.124541057,1.236973482,0.330125351,1.687880882,NA,NA,NA,NA,NA,NA
376,15112,Ryan McMahon,COL,7.071486482,78,222,1.307331227,1.42517262,1.543458155,1.313828479,0.510798156,0.970897845,NA,NA,NA,NA,NA,NA
1115,23735,Luis Garcia,HOU,7.041248609,63,NA,NA,NA,NA,NA,NA,NA,1.694079004,1.092383832,1.851975708,0.8771928,0.873443322,0.652173942
1171,3473,Anthony Rizzo,NYY,7.027171435,79,89,1.307331227,1.324638434,1.26418009,1.401237754,0.555966358,1.173817572,NA,NA,NA,NA,NA,NA
1085,22250,Logan Gilbert,SEA,7.018059688,64,163,NA,NA,NA,NA,NA,NA,1.888642324,1.805304932,2.023135925,1.499748561,0.471006184,-0.669778238
185,13050,Anthony DeSclafani,SFG,6.977264782,65,157,NA,NA,NA,NA,NA,NA,2.212914523,2.518226033,1.7663956,0.788256263,0.3612506,-0.669778238
447,15890,Luis Severino,NYY,6.959732792,66,152,NA,NA,NA,NA,NA,NA,1.607606418,1.567664565,1.809185654,1.588685098,1.056369294,-0.669778238
1411,sa3018052,Seiya Suzuki,CHC,6.933035232,80,113,0.928558326,1.123570062,1.054721541,1.247823631,1.052816573,1.5255451,NA,NA,NA,NA,NA,NA
292,14221,Jorge Soler,MIA,6.90015095,81,159,1.204029527,1.927843549,1.508548397,1.378972862,-0.211893067,1.092649681,NA,NA,NA,NA,NA,NA
457,15998,Cody Bellinger,LAD,6.899241335,82,84,1.376199028,1.626240992,1.508548397,1.263543059,0.059116142,1.065593718,NA,NA,NA,NA,NA,NA
