Name,R/IP,HR/SO,RBI/QS,RC/ERA,AVG/WHIP,OPS/SVHD,pr,ovr_pr,adp,playerid,1B,2B,3B,SS,C,LF,CF,RF,P
Aaron Nola,2.582267615,3.150507941,2.488501526,1.496191125,1.579134119,-0.675695274,10.62090705,33,21,16149,,,,,,,,,P
Jose Abreu,1.519268053,2.046086231,2.302969982,1.768634965,1.461476549,1.515601308,10.61403709,34,39,15676,1B,,,,,,,,
Walker Buehler,2.046864166,2.656036475,2.086026149,1.948731846,2.478668369,-0.675695274,10.54063173,35,20,19374,,,,,,,,,P
Lucas Giolito,2.281443474,3.180870224,2.285477027,1.477943515,1.942775625,-0.675695274,10.49281459,36,26,15474,,,,,,,,,P
J.D. Martinez,1.563046483,1.921896528,1.849573074,1.904338901,1.331143746,1.867048614,10.43704735,37,92,6184,,,,,,,,,
Aaron Judge,1.789235038,2.377258771,1.637043273,1.721079276,0.502599496,2.375944313,10.40316017,38,42,15640,,,,,,,,RF,
Giancarlo Stanton,1.490082433,2.625638177,2.026681241,1.620951203,0.372266693,2.226930656,10.3625504,39,119,4949,,,,,,,,,
Eugenio Suarez,1.665196153,2.667034745,2.232126715,1.851626275,0.167458002,1.687107593,10.27054948,40,64,12552,,,3B,SS,,,,,
Luis Castillo,2.420739117,3.037733747,2.323014132,1.580130129,1.330326773,-0.675695274,10.01624862,41,40,15689,,,,,,,,,P
Clayton Kershaw,2.051401483,2.243976919,2.085135408,1.930484236,2.36383421,-0.675695274,9.999136981,42,34,2036,,,,,,,,,P
Nolan Arenado,1.533860863,1.983991379,1.870826054,1.83810326,1.191501456,1.557774984,9.976057997,43,29,9777,,,3B,,,,,,
Ozzie Albies,1.927866733,1.404439433,1.573284332,1.789534775,1.777999071,1.450935003,9.924059348,44,38,16556,,2B,,,,,,,
Francisco Lindor,2.008127188,1.963293095,1.608705966,1.834299028,1.117025569,1.358152914,9.889603761,45,16,12916,,,,SS,,,,,
Luke Voit,1.563046483,2.14957765,1.807067113,1.616810363,0.847050476,1.796759153,9.780311239,46,61,14811,1B,,,,,,,,
Nelson Cruz,1.183633423,2.14957765,1.686633559,1.507901943,1.051859167,2.086351733,9.665957476,47,94,2434,,,,,,,,,
DJ LeMahieu,1.905977518,0.804189203,1.19073069,1.770283475,2.65309075,1.338471865,9.662743502,48,22,9874,1B,2B,3B,,,,,,
Anthony Rizzo,1.657899748,1.590723987,1.686633559,1.893564049,1.023930709,1.774266525,9.627018578,49,75,3473,1B,,,,,,,,
Michael Conforto,1.723567393,1.818405109,1.743308173,1.804090778,0.791193561,1.689919172,9.570484185,50,62,16376,,,,,,,,RF,
Charlie Blackmon,1.570342888,1.135361744,1.240320977,1.631464985,2.103831079,1.689919172,9.371240844,51,67,7859,,,,,,,,RF,
Bo Bichette,1.730863798,1.156060027,1.580368659,1.576991099,1.889712902,1.417196062,9.351192548,52,33,19612,,,,SS,,,,,
Franmil Reyes,1.402525573,2.294465636,1.906247687,1.612742346,0.623622814,1.386268699,9.225872755,53,166,14566,,,,,,,,,
Brandon Woodruff,2.037789531,2.50422506,1.899522367,1.565532042,1.885358545,-0.675695274,9.216732269,54,41,16162,,,,,,,,,P
Matt Olson,1.468193218,2.646336461,2.047934221,1.649338141,-0.251468865,1.611194975,9.171528151,55,88,14344,1B,,,,,,,,
Nicholas Castellanos,1.687085368,1.735611974,1.637043273,1.690194893,1.005311738,1.372210807,9.127458051,56,66,11737,,,,,,,,,
Kyle Tucker,1.752753013,1.611422271,1.849573074,1.558111801,0.902907392,1.304732924,8.979500475,57,35,18345,,,,,,LF,,,
Josh Hader,-0.185495981,0.730200237,-0.783817444,2.700533366,3.225090407,3.21605066,8.902561245,58,50,14212,,,,,,,,,P
Matt Chapman,1.679788963,2.273767352,1.743308173,1.627435696,0.055744171,1.490297102,8.870341457,59,87,16505,,,3B,,,,,,
Tyler Glasnow,1.727890754,2.773148138,1.673460287,1.536335866,1.808802438,-0.675695274,8.843942209,60,48,14374,,,,,,,,,P
Mike Moustakas,1.220115448,2.253069069,1.948753647,1.497794984,0.521218468,1.400326591,8.841278208,61,121,4892,1B,2B,,,,,,,
Ketel Marte,1.555750078,0.84558577,1.16947771,1.784609921,2.029355192,1.400326591,8.785105262,62,56,13613,,2B,,,,,,,
Jose Altuve,1.811124253,1.073266892,1.240320977,1.596376579,1.805927529,1.245689776,8.772706007,63,83,5417,,2B,,,,,,,
Rhys Hoskins,1.665196153,2.004689663,1.821235767,1.68627682,-0.223540407,1.810817045,8.76467504,64,130,16472,1B,,,,,,,,
Paul Goldschmidt,1.592232103,1.466534284,1.374923185,1.796571448,0.996002252,1.507166572,8.733429844,65,68,9218,1B,,,,,,,,
Lance Lynn,2.482446633,2.751460793,2.429642409,0.671399166,1.024102348,-0.675695274,8.683356075,66,55,2520,,,,,,,,,P
Edwin Diaz,-0.239943789,0.595738698,-0.783817444,2.810019024,2.612641556,3.592671234,8.587309279,67,90,14710,,,,,,,,,P
Eddie Rosario,1.212819043,1.652818839,1.658296253,1.268455627,1.489405007,1.268182404,8.549977172,68,73,12155,,,,,,LF,,,
Josh Bell,1.300375903,1.632120555,1.764561153,1.520536825,0.744646131,1.521224464,8.483465032,69,128,13145,1B,,,,,,,,
Blake Snell,1.670266824,2.387113397,1.679408616,1.810050012,1.598273146,-0.675695274,8.469416719,70,47,13543,,,,,,,,,P
Zack Greinke,2.399413725,1.988066248,2.308624152,0.733441039,1.674829252,-0.675695274,8.428679142,71,101,1943,,,,,,,,,P
Jeff McNeil,1.453600408,0.617904649,1.162393384,1.655557052,2.215544911,1.304732924,8.409733327,72,72,15362,,2B,,,,LF,,,
Liam Hendriks,-0.165531784,0.426577407,-0.783817444,2.383024957,2.861448901,3.65544133,8.377143367,73,57,3548,,,,,,,,,P
Carlos Correa,1.293079498,1.466534284,1.714970866,1.511294018,1.042549681,1.282240296,8.310668644,74,107,14162,,,,SS,,,,,
Carlos Carrasco,1.667544433,2.178914884,1.730963894,1.499840647,1.904497571,-0.675695274,8.306066155,75,80,6632,,,,,,,,,P
Tim Anderson,1.752753013,1.135361744,1.176562037,1.409766685,1.91764136,0.795837224,8.187922063,76,49,15172,,,,SS,,,,,
Javier Baez,1.533860863,1.797706825,1.849573074,1.335260059,0.781884075,0.739605655,8.037890551,77,65,12979,,,,SS,,,,,
Miguel Sano,1.555750078,2.625638177,1.799982787,1.399055335,-0.74487162,1.380645542,8.016200298,78,159,12164,1B,,,,,,,,
Jose Berrios,2.291879304,2.300364016,2.236393848,0.740740083,1.100658454,-0.675695274,7.99434043,79,76,14168,,,,,,,,,P
Zack Wheeler,2.366291309,2.061803221,2.382431263,0.795482912,1.043241374,-0.675695274,7.973554805,80,91,10310,,,,,,,,,P
Kevin Gausman,2.028714896,2.300364016,1.994458677,1.007155184,1.272909694,-0.675695274,7.927907193,81,165,14107,,,,,,,,,P
C.J. Cron,0.877184413,1.694215406,1.403260491,1.159164848,1.023930709,1.751773897,7.909529765,82,204,12546,1B,,,,,,,,
Zac Gallen,1.989693967,2.391450866,1.92000936,1.050949448,1.177214561,-0.675695274,7.853622926,83,58,19291,,,,,,,,,P
Stephen Strasburg,1.845861006,2.113852849,1.929801726,1.182332238,1.426021906,-0.675695274,7.822174451,84,86,10131,,,,,,,,,P
Patrick Corbin,2.477909316,2.508562529,2.417676009,0.616656336,0.469070576,-0.675695274,7.814179492,85,138,9323,,,,,,,,,P
Kris Bryant,1.701678178,1.363042865,1.204899344,1.582491283,0.567765898,1.363776071,7.78365364,86,106,15429,,,3B,,,,,,
Jorge Soler,1.198226233,2.066784514,1.608705966,1.439100544,0.027815713,1.436877111,7.777510081,87,171,14221,,,,,,,,,
Anthony Santander,1.220115448,1.673517122,1.629958946,1.340173027,0.865669448,0.98421298,7.713646972,88,126,14551,,,,,,,,RF,
Kyle Hendricks,2.314565891,1.602031507,2.238946599,0.751688648,1.387743853,-0.675695274,7.619281224,89,78,12049,,,,,,,,,P
Teoscar Hernandez,1.417118383,2.211672501,1.693717886,1.258473329,-0.046660174,1.062937177,7.597259102,90,79,13066,,,,,,,,RF,
Michael Brantley,1.190929828,0.493714946,1.162393384,1.398636612,2.168997481,1.175400315,7.590072565,91,97,4106,,,,,,LF,,,
Joe Musgrove,1.936607354,1.927341682,1.857619501,0.99985614,1.502578013,-0.675695274,7.548307416,92,136,12970,,,,,,,,,P
Hyun-Jin Ryu,2.028714896,1.740830515,1.991573939,1.112991321,1.3494658,-0.675695274,7.547881196,93,74,14444,,,,,,,,,P
Dinelson Lamet,1.254648553,2.070478159,1.380884992,1.649471046,1.827941465,-0.675695274,7.507728941,94,99,17186,,,,,,,,,P
Sonny Gray,2.001490992,2.352413645,1.959899799,1.065547535,0.794434029,-0.675695274,7.498090725,95,89,12768,,,,,,,,,P
Marcus Semien,1.789235038,1.300948014,1.318248571,1.507184725,0.698098701,0.882996156,7.496711206,96,108,12533,,,,SS,,,,,
Max Muncy,1.490082433,1.756310258,1.559115679,1.370236712,-0.232849893,1.543717092,7.48661228,97,81,13301,1B,2B,3B,,,,,,
Charlie Morton,1.839962494,2.070478159,1.865983801,1.182332238,1.196353587,-0.675695274,7.479415004,98,117,4676,,,,,,,,,P
Aroldis Chapman,-0.365173749,0.32681562,-0.783817444,2.704182888,2.000192704,3.592671234,7.474871253,99,69,10233,,,,,,,,,P
Max Kepler,1.665196153,1.673517122,1.275742611,1.448958109,0.167458002,1.22038557,7.451257568,100,153,12144,,,,,,,,RF,
Kyle Schwarber,1.154447803,2.046086231,1.410344818,1.246844159,-0.214230921,1.760208633,7.403700723,101,172,16478,,,,,,LF,,,
Lourdes Gurriel Jr.,1.132558588,1.507930852,1.459935105,1.153942569,1.191501456,0.950474039,7.396342609,102,85,19238,,,,,,LF,,,
Luis Robert,1.482786028,1.632120555,1.537862699,1.216111819,0.642241786,0.852068793,7.36319168,103,45,20043,,,,,,,CF,,
J.T. Realmuto,1.198226233,1.259551446,1.424513471,1.148030204,1.098406597,1.211950835,7.340678787,104,53,11739,,,,,C,,,,
Joey Gallo,1.497378838,2.708431312,1.7503925,1.404778149,-1.489630496,1.428442376,7.299792679,105,129,14128,,,,,,,,RF,
Andrew Heaney,2.028714896,2.187589822,2.075676375,0.324694581,1.253770667,-0.675695274,7.194751068,106,194,15423,,,,,,,,,P
Justin Turner,1.081483753,0.6799995,0.971116563,1.203877116,1.694213698,1.554963406,7.185654036,107,157,5235,,,3B,,,,,,
Randy Arozarena,1.358747143,1.28024973,1.134056077,1.208198547,0.949454822,1.245689776,7.176396095,108,63,19290,,,,,,LF,,,
Keston Hiura,1.336857928,1.673517122,1.537862699,1.24436721,0.409504637,0.936416147,7.138525743,109,96,20003,,2B,,,,,,,
Alec Bohm,1.110669373,0.762792635,1.219067997,1.296304947,1.675594726,1.071371912,7.135801591,110,111,21618,,,3B,,,,,,
Yoan Moncada,1.497378838,1.218154879,1.296995591,1.404560726,0.595694356,0.888619313,6.901403703,111,110,17232,,,3B,,,,,,
German Marquez,2.447963021,2.439163025,2.34049347,-0.054855701,0.354236417,-0.675695274,6.851304957,112,156,15038,,,,,,,,,P
Josh Donaldson,1.242004663,1.54932742,1.134056077,1.331101409,-0.018731717,1.574644455,6.812402306,113,184,5038,,,3B,,,,,,
Ryan Mountcastle,0.847998793,1.073266892,1.282826937,1.126912324,1.57319038,0.899865627,6.804060954,114,158,18373,1B,,,,,LF,,,
Didi Gregorius,1.147151398,1.197456595,1.566200006,1.079178355,1.014621223,0.787402489,6.792010066,115,124,6012,,,,SS,,,,,
Nick Anderson,-0.245842302,0.335490558,-0.783817444,2.178651728,2.631780582,2.651119799,6.767382921,116,144,18337,,,,,,,,,P
Trey Mancini,0.957444868,1.238853163,1.098634443,1.167530358,1.117025569,1.169777158,6.749265559,117,150,15149,,,,,,,,RF,
Kenta Maeda,1.783699758,2.014091062,1.711158104,0.580161117,1.253770667,-0.675695274,6.667185435,118,51,18498,,,,,,,,,P
Whit Merrifield,1.628714128,0.390223527,0.900273296,1.379507321,1.768689585,0.562476213,6.629884069,119,46,11281,,2B,,,,,CF,RF,
Alex Verdugo,1.220115448,0.348826959,0.687743495,1.296250176,1.973498276,1.068560334,6.594994688,120,135,17027,,,,,,LF,,RF,
Ian Happ,1.329561523,1.507930852,1.21198367,1.295573796,0.046434685,1.133226638,6.524711165,121,137,17919,,,,,,LF,CF,,
Brandon Lowe,1.169040613,1.487232568,1.346585878,1.149861613,0.204695946,1.096676118,6.454092737,122,70,18882,,2B,,,,,,RF,
Jesse Winker,0.826109578,0.866284054,0.708996475,1.085610066,1.256667858,1.695542328,6.439210359,123,260,13590,,,,,,LF,,,
Mike Yastrzemski,1.475489623,1.093965176,1.219067997,1.346817238,0.372266693,0.902677205,6.410283933,124,103,14854,,,,,,,CF,RF,
Ryan Pressly,-0.31072594,-0.011506962,-0.783817444,1.977928021,1.961914651,3.529901139,6.363693464,125,98,7005,,,,,,,,,P
Dylan Bundy,2.109025414,2.079153097,2.065369422,-0.120547096,0.870990135,-0.675695274,6.328295698,126,139,12917,,,,,,,,,P
Eric Hosmer,1.176337018,1.052568608,1.672464906,1.172957425,0.781884075,0.365665721,6.221877753,127,142,3516,1B,,,,,,,,
James Karinchak,-0.317078185,0.582726291,-0.783817444,2.189600294,1.119797481,3.404360947,6.195589384,128,109,20151,,,,,,,,,P
Mike Minor,2.219282226,1.779867736,2.19134724,-0.003762394,0.679599869,-0.675695274,6.190639402,129,326,10021,,,,,,,,,P
Trent Grisham,1.606824913,1.073266892,1.098634443,1.344557729,0.120910573,0.905488784,6.149683334,130,60,18564,,,,,,,CF,,
Dominic Smith,0.913666438,1.031870325,1.233236651,1.054802208,0.921526364,0.98421298,6.139314965,131,133,15653,1B,,,,,LF,,,
Giovanny Urshela,1.045001728,0.721396068,1.240320977,1.089006012,1.387000661,0.632765674,6.11549112,132,149,10681,,,,,,,,,
Matthew Boyd,2.078625387,2.19626476,1.991003407,-0.251929886,0.775295002,-0.675695274,6.113563396,133,281,15440,,,,,,,,,P
Starling Marte,1.446304003,0.576508081,0.978200889,1.136507353,1.452167063,0.523114114,6.112801504,134,52,9241,,,,,,,CF,,
Marco Gonzales,2.240607617,1.432870216,2.16656706,0.196961313,0.737016949,-0.675695274,6.09832788,135,162,15467,,,,,,,,,P
Wil Myers,1.169040613,1.487232568,1.424513471,1.101723151,0.037125199,0.85769195,6.077326953,136,122,10047,,,,,,,,RF,
Paul DeJong,1.329561523,1.363042865,1.474103758,1.205405955,0.148839031,0.539983585,6.060936718,137,199,18015,,,,SS,,,,,
Max Fried,1.836786371,1.723480639,1.839144972,0.956061877,0.373375443,-0.675695274,6.053154029,138,84,13743,,,,,,,,,P
Corbin Burnes,1.195663427,1.771192798,1.146570902,1.321014071,1.253770667,-0.675695274,6.012516591,139,71,19361,,,,,,,,,P
Kirby Yates,-0.416899167,0.127292046,-0.783817444,1.879390929,2.172443944,3.027740373,6.00615068,140,120,9073,,,,,,,,,P
Pablo Lopez,1.702028045,1.480582375,1.597387113,0.853875263,1.043241374,-0.675695274,6.001418896,141,152,17085,,,,,,,,,P
Salvador Perez,0.636403048,1.54932742,1.389091838,0.796843726,0.772574589,0.852068793,5.996309414,142,82,7304,,,,,C,,,,
Christian Walker,1.132558588,1.156060027,1.247405304,1.126799807,0.446742581,0.877372999,5.986939307,143,185,13419,1B,,,,,,,,
Corey Kluber,1.545036864,1.523957065,1.667916688,0.558263985,1.330326773,-0.675695274,5.949806102,144,148,2429,,,,,,,,,P
Brian Anderson,1.147151398,1.031870325,1.332417224,1.319294547,0.428123609,0.683374086,5.942231189,145,211,18289,,,3B,,,,,,
Shohei Ohtani,0.869888008,1.052568608,1.04195983,0.852015342,0.763265103,1.352529757,5.932226648,146,115,19755,,,,,,,,,
Lance McCullers Jr.,1.486051739,1.610706445,1.558857,1.145837018,0.775295002,-0.675695274,5.901051929,147,132,14120,,,,,,,,,P
Jesus Luzardo,1.325430704,1.380820588,1.299488561,1.226126501,1.330326773,-0.675695274,5.886497852,148,112,19959,,,,,,,,,P
Andrew McCutchen,1.366043548,1.093965176,1.027791176,1.160540897,0.316409778,0.913923519,5.878674094,149,154,9847,,,,,,LF,,,
Austin Riley,0.942852058,1.507930852,1.431597798,0.96712201,0.232624404,0.790214067,5.872341189,150,195,18360,,,3B,,,,,,
Byron Buxton,1.096076563,1.363042865,1.098634443,0.835398895,0.521218468,0.950474039,5.864845274,151,116,14161,,,,,,,CF,,
A.J. Pollock,0.986630488,1.321646298,1.204899344,0.848783148,0.558456412,0.942039304,5.862454993,152,176,9256,,,,,,LF,CF,,
Tommy Pham,1.234708258,0.659301216,0.801092722,1.12290561,0.93083585,1.012328765,5.761172421,153,127,2967,,,,,,LF,,,
Joc Pederson,1.096076563,1.528629136,1.098634443,0.974076459,-0.158374006,1.211950835,5.75099343,154,169,11899,,,,,,LF,,,
Dansby Swanson,1.526564458,0.886982338,1.247405304,1.197256191,0.437433095,0.424708869,5.720350255,155,102,18314,,,,SS,,,,,
Ramon Laureano,1.358747143,1.238853163,1.162393384,1.129921006,0.158148516,0.672127772,5.720190984,156,141,17128,,,,,,,CF,,
Joey Votto,1.453600408,0.824887487,0.808177048,1.405217988,0.381576179,0.838010901,5.711470011,157,263,4314,1B,,,,,,,,
Raisel Iglesias,-0.236767667,0.06656748,-0.783817444,1.514438734,1.847080492,3.278820756,5.68632235,158,104,17130,,,,,,,,,P
Chris Paddack,1.038218514,1.124909916,1.209392067,1.040000882,1.904497571,-0.675695274,5.641323676,159,100,20099,,,,,,,,,P
Marcus Stroman,1.80502515,1.272383863,1.85699268,0.981608531,0.354236417,-0.675695274,5.594551365,160,198,13431,,,,,,,,,P
Eduardo Escobar,1.088780158,1.031870325,1.332417224,1.142460114,0.465361553,0.525925693,5.586815066,161,238,6153,,,3B,,,,,,
Zach Eflin,1.95929394,1.727818108,1.949843935,-0.000112872,0.622182789,-0.675695274,5.583330627,162,189,13774,,,,,,,,,P
Josh Lindblom,1.821813224,1.753842922,1.809900961,-0.080402355,0.890129162,-0.675695274,5.51958864,163,292,7882,,,,,,,,,P
Chris Sale,0.325859687,0.868999245,0.705161423,1.737059573,2.536085449,-0.675695274,5.497470103,164,228,10603,,,,,,,,,P
Sandy Alcantara,2.261933009,1.732155577,2.149531461,0.167765138,-0.143378275,-0.675695274,5.492311635,165,177,18684,,,,,,,,,P
Robbie Ray,1.858111763,2.803510421,1.840504812,-0.047556657,-0.296490488,-0.675695274,5.482384577,166,301,11486,,,,,,,,,P
Austin Meadows,0.993926893,1.093965176,0.935694929,0.953590602,0.493290011,0.995459294,5.465926905,167,105,15672,,,,,,LF,,,
Eduardo Rodriguez,1.814099784,1.883966992,1.926012513,0.291848884,0.201124204,-0.675695274,5.441357103,168,,13164,,,,,,,,,P
Ke'Bryan Hayes,1.001223298,0.390223527,0.737333781,1.134846414,1.256667858,0.902677205,5.422972084,169,167,18577,,,3B,,,,,,
Carlos Santana,1.220115448,0.928378906,1.10571877,1.304435637,-0.028041202,0.849257215,5.379864773,170,182,2396,1B,,,,,,,,
Yuli Gurriel,1.045001728,0.700697784,1.219067997,1.021690917,1.051859167,0.33192678,5.370244373,171,214,19198,1B,,,,,,,,
Jonathan Schoop,0.877184413,1.176758311,1.027791176,0.855848688,0.800503047,0.624330939,5.362416574,172,,11265,,,,,,,,,
James Paxton,1.234684356,1.536969472,1.386458097,0.689646775,1.177214561,-0.675695274,5.349277987,173,206,11828,,,,,,,,,P
Brad Hand,-0.262630376,0.135966984,-0.783817444,1.437798774,1.770524385,3.027740373,5.325582695,174,123,9111,,,,,,,,,P
Luis Arraez,0.869888008,-0.727483798,0.262683892,1.059662352,3.062708132,0.76772144,5.295180026,175,,18568,,,,,,,,,
Jean Segura,1.183633423,0.224637257,0.829430029,1.039676594,1.629047296,0.379723613,5.286148212,176,155,5933,,2B,3B,,,,,,
Mark Canha,1.176337018,0.969775473,1.056128483,1.147104074,-0.05596966,0.96734351,5.260718897,177,237,11445,,,,,,LF,,RF,
Kwang-hyun Kim,1.80502515,1.181297014,1.802789935,0.565563029,0.526487656,-0.675695274,5.205467509,178,311,27458,,,,,,,,,P
Craig Kimbrel,-0.387860336,0.179341674,-0.783817444,1.481593037,1.559995093,3.153280564,5.202532588,179,192,6655,,,,,,,,,P
Mitch Haniger,1.066890943,1.11466346,0.886104642,0.977876306,0.214005432,0.933604568,5.193145352,180,233,14274,,,,,,,,RF,
Jorge Polanco,1.081483753,0.348826959,0.758586762,1.025919097,1.349762718,0.618707782,5.183287071,181,200,13152,,,,SS,,,,,
Frankie Montas,1.501024886,1.454557561,1.543689946,0.609357293,0.737016949,-0.675695274,5.169951359,182,183,14309,,,,,,,,,P
Will Smith,-0.303466233,0.122954577,-0.783817444,1.56188252,1.885358545,2.651119799,5.134031763,183,93,8048,,,,,,,,,P
Zach Plesac,1.790052002,1.424195278,1.800196981,-0.036608091,0.794434029,-0.675695274,5.096574925,184,113,19979,,,,,,,,,P
Chris Bassitt,1.753753463,1.337445898,1.765414653,0.331993625,0.564765709,-0.675695274,5.077678074,185,197,12304,,,,,,,,,P
David Peralta,0.745849123,0.452318378,0.956947909,0.980579396,1.293905802,0.641200409,5.070801018,186,227,2136,,,,,,LF,,,
Sean Manaea,1.505562203,1.059847881,1.465047358,0.554614463,1.158075534,-0.675695274,5.067452166,187,221,15873,,,,,,,,,P
Rowdy Tellez,0.592624618,1.093965176,0.907357622,0.654299769,0.614313328,1.197892943,5.060453456,188,,15679,,,,,,,,,
Dallas Keuchel,2.214744908,1.194309421,2.220777704,0.229807011,-0.124239248,-0.675695274,5.059704521,189,187,9434,,,,,,,,,P
Ryan Yarbrough,1.738326584,1.10756004,1.688063503,0.215208923,0.947546241,-0.675695274,5.021010018,190,271,16502,,,,,,,,,P
Kenley Jansen,-0.313902062,-0.037531776,-0.783817444,1.072846579,1.961914651,3.090510469,4.990020416,191,114,3096,,,,,,,,,P
Kyle Seager,1.001223298,1.197456595,1.389091838,1.049206268,-0.111826576,0.464070967,4.98922239,192,209,9785,,,3B,,,,,,
Taylor Rogers,-0.244481107,-0.033194307,-0.783817444,1.926834714,1.713107305,2.400039416,4.978488577,193,203,13449,,,,,,,,,P
Aaron Hicks,1.285783093,0.949077189,0.964032236,1.06445199,-0.232849893,0.947662461,4.978157076,194,210,5297,,,,,,,CF,,
Clint Frazier,0.942852058,1.073266892,1.027791176,0.88271422,0.102291601,0.854880372,4.883796318,195,191,15983,,,,,,,,RF,
Cavan Biggio,1.570342888,0.907680622,0.978200889,1.210591445,-0.419039612,0.632765674,4.880541906,196,77,19252,,2B,3B,,,,,RF,
Hunter Dozier,1.125262183,0.969775473,1.056128483,1.138153236,0.027815713,0.556853056,4.873988144,197,234,15117,1B,,,,,,,RF,
Brandon Belt,0.877184413,0.6799995,0.815261375,1.054727952,0.260552862,1.060125599,4.747851701,198,,10264,,,,,,,,,
Yasmani Grandal,0.993926893,1.28024973,1.077381463,1.031013941,-0.577300873,0.942039304,4.747310458,199,134,11368,,,,,C,,,,
Starlin Castro,0.672885073,0.51441323,0.879020316,0.795607815,1.433548091,0.433143604,4.728618128,200,339,4579,,,,,,,,,
