Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Adley Rutschman_IF_1134_pts,Tony Gonsolin_P_871_pts,Ty France_IF_1132_pts,Hunter Brown_P_869_pts,Matt Chapman_IF_1126_pts,Nathaniel Lowe_IF_1124_pts,Ryan McMahon_IF_1120_pts,Jeremy Peña_IF_1120_pts,DJ LeMahieu_IF_1114_pts,Salvador Perez_IF_1112_pts,Lance Lynn_P_865_pts,Logan Gilbert_P_863_pts
Kyle Gibson_P_820_pts,José Urquidy_P_822_pts,Tyler Anderson_P_826_pts,Pablo López_P_826_pts,Marcus Stroman_P_829_pts,Patrick Sandoval_P_840_pts,Nick Pivetta_P_842_pts,Nathan Eovaldi_P_844_pts,Merrill Kelly_P_851_pts,Hunter Greene_P_851_pts,Luis García_P_861_pts,Andrew Heaney_P_862_pts
Adolis García_OF_1112_pts,Justin Turner_IF_1111_pts,C.J. Cron_IF_1105_pts,Will Smith_IF_1103_pts,Anthony Rendon_IF_1094_pts,Seiya Suzuki_OF_1093_pts,MJ Melendez_IF_1090_pts,Triston Casas_IF_1082_pts,Ryan Mountcastle_IF_1081_pts,Wander Franco_IF_1072_pts,Amed Rosario_IF_1069_pts,Javier Báez_IF_1069_pts
Martín Pérez_P_808_pts,Jose Miranda_IF_1034_pts,Anthony Santander_OF_1059_pts,Eduardo Escobar_IF_1039_pts,César Hernández_IF_1043_pts,Jake McCarthy_OF_1060_pts,Masataka Yoshida_OF_1066_pts,George Kirby_P_812_pts,Clayton Kershaw_P_816_pts,J.P. Crawford_IF_1048_pts,Rowdy Tellez_IF_1057_pts,Jordan Montgomery_P_818_pts
Jameson Taillon_P_792_pts,Vaughn Grissom_IF_1026_pts,Nelson Cruz_OF_1057_pts,Luis Severino_P_788_pts,Brandon Drury_IF_1024_pts,Oswald Peraza_IF_1022_pts,Jesús Luzardo_P_787_pts,Taijuan Walker_P_783_pts,Kyle Bradish_P_779_pts,Justin Steele_P_778_pts,Kenta Maeda_P_763_pts,Luis Urías_IF_1020_pts
Joey Gallo_OF_976_pts,Kodai Senga_P_756_pts,Tommy Pham_OF_1004_pts,Mike Yastrzemski_OF_1007_pts,Trent Grisham_OF_1016_pts,Eduardo Rodriguez_P_758_pts,Robbie Grossman_OF_1018_pts,Jesse Winker_OF_1019_pts,Enrique Hernández_OF_1022_pts,Cal Quantrill_P_760_pts,Willson Contreras_IF_1019_pts,Hunter Renfroe_OF_1049_pts
Ezequiel Tovar_IF_1016_pts,AJ Pollock_OF_974_pts,Carlos Santana_IF_1015_pts,Chris Taylor_IF_1011_pts,Marco Gonzales_P_755_pts,Daulton Varsho_OF_970_pts,Hayden Wesneski_P_755_pts,Adam Frazier_IF_1001_pts,Andrés Giménez_IF_1000_pts,Bryce Harper_OF_966_pts,Alex Cobb_P_749_pts,Yandy Díaz_IF_995_pts
Isiah Kiner-Falefa_IF_986_pts,David Peralta_OF_936_pts,Kolten Wong_IF_986_pts,Lourdes Gurriel Jr._OF_943_pts,Grayson Rodriguez_P_739_pts,Seth Brown_OF_943_pts,Charlie Blackmon_OF_956_pts,Jeff McNeil_IF_986_pts,Gleyber Torres_IF_991_pts,Austin Hays_OF_956_pts,Giancarlo Stanton_OF_956_pts,Sonny Gray_P_749_pts
Franmil Reyes_OF_918_pts,Jordan Lyles_P_734_pts,Joc Pederson_OF_901_pts,Cody Bellinger_OF_900_pts,Jake Fraley_OF_899_pts,Tyler Mahle_P_727_pts,Oswaldo Cabrera_OF_896_pts,Dylan Carlson_OF_895_pts,Trey Mancini_OF_890_pts,Ketel Marte_IF_985_pts,Myles Straw_OF_890_pts,Adam Duvall_OF_871_pts
Randal Grichuk_OF_828_pts,Garrett Mitchell_OF_831_pts,Zach Eflin_P_710_pts,Aaron Civale_P_727_pts,Luis Robert Jr._OF_833_pts,William Contreras_IF_972_pts,Luis García_IF_973_pts,Andrew Benintendi_OF_843_pts,Raimel Tapia_OF_857_pts,Kerry Carpenter_OF_858_pts,Marcell Ozuna_OF_863_pts,Max Kepler_OF_864_pts
