"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"103","Jake Cronenworth","SD","1B,2B,SS","147","74","110.5"
"104","Luis Severino","NYY","SP","109","112","110.5"
"105","Lucas Giolito","CWS","SP","136","92","114.0"
"106","Nathaniel Lowe","TEX","1B","110","118","114.0"
"107","Tim Anderson","CWS","SS","71","158","114.5"
"108","Camilo Doval","SF","RP","97","133","115.0"
"109","Alejandro Kirk","TOR","C,DH","138","93","115.5"
"110","Anthony Rizzo","NYY","1B","135","97","116.0"
"111","MJ Melendez","KC","C,LF,RF,DH","126","107","116.5"
"112","Christian Yelich","MIL","LF,DH","113","121","117.0"
"113","Willson Contreras","STL","C,DH","105","130","117.5"
"114","Tyler Glasnow","TB","SP","98","140","119.0"
"115","Nick Castellanos","PHI","RF","114","125","119.5"
"116","Nick Lodolo","CIN","SP","145","99","122.0"
"117","Andres Gimenez","CLE","2B,SS","96","149","122.5"
"118","Byron Buxton","MIN","CF,DH","91","155","123.0"
"119","George Kirby","SEA","SP","132","115","123.5"
"120","Charlie Morton","ATL","SP","151","98","124.5"
"121","Lance Lynn","CWS","SP","146","103","124.5"
"122","Hunter Greene","CIN","SP","140","110","125.0"
"123","Gleyber Torres","NYY","2B","116","134","125.0"
"124","Max Muncy","LAD","2B,3B,DH","125","127","126.0"
"125","Chris Bassitt","TOR","SP","153","100","126.5"
"126","Taylor Ward","LAA","CF,RF","130","124","127.0"
"127","Pablo Lopez","MIN","SP","175","89","132.0"
"128","Jeff McNeil","NYM","2B,LF,RF","164","104","134.0"
"129","Clay Holmes","NYY","RP","112","157","134.5"
"130","C.J. Cron","COL","1B,DH","128","141","134.5"
"131","Jeremy Pena","HOU","SS","107","165","136.0"
"132","Tyler O'Neill","STL","LF,CF","100","175","137.5"
"133","Giancarlo Stanton","NYY","RF,DH","106","169","137.5"
"134","Josh Bell","CLE","1B,DH","192","85","138.5"
"135","Brandon Nimmo","NYM","CF","169","109","139.0"
"136","Christian Walker","ARI","1B","160","119","139.5"
"137","Luis Arraez","MIA","1B,2B,DH","206","78","142.0"
"138","Bryce Harper","PHI","RF,DH","123","164","143.5"
"139","Freddy Peralta","MIL","SP","129","160","144.5"
"140","Chris Sale","BOS","SP","158","131","144.5"
"141","Jorge Polanco","MIN","2B","143","146","144.5"
"142","Ty France","SEA","1B,3B","152","139","145.5"
"143","Jake McCarthy","ARI","LF,CF,RF","103","190","146.5"
"144","Joe Ryan","MIN","SP","155","138","146.5"
"145","Andrew Vaughn","CWS","1B,LF,RF,DH","142","154","148.0"
"146","Scott Barlow","KC","RP","134","163","148.5"
"147","Seiya Suzuki","CHC","RF","124","176","150.0"
"148","Amed Rosario","CLE","SS,LF","139","162","150.5"
"149","Brady Singer","KC","SP","180","122","151.0"
"150","David Bednar","PIT","RP","118","185","151.5"
"151","Matt Chapman","TOR","3B","161","142","151.5"
"152","Brandon Lowe","TB","2B","150","153","151.5"
"153","Masataka Yoshida","BOS","LF","201","105","153.0"
"154","Jordan Montgomery","STL","SP","179","128","153.5"
"155","Jeffrey Springs","TB","SP,RP","149","159","154.0"
"156","Sean Murphy","ATL","C,DH","177","135","156.0"
"157","Tony Gonsolin","LAD","SP","133","180","156.5"
"158","Jose Miranda","MIN","1B,3B,DH","171","144","157.5"
"159","Alexis Diaz","CIN","RP","121","196","158.5"
"160","DJ LeMahieu","NYY","1B,2B,3B","166","151","158.5"
"161","Daniel Bard","COL","RP","131","187","159.0"
"162","Andres Munoz","SEA","RP","148","170","159.0"
"163","Vaughn Grissom","ATL","2B","174","145","159.5"
"164","Jhoan Duran","MIN","RP","122","199","160.5"
"165","Alex Verdugo","BOS","LF,RF","182","143","162.5"
"166","Drew Rasmussen","TB","SP","168","161","164.5"
"167","Jesus Luzardo","MIA","SP","156","174","165.0"
"168","Hunter Renfroe","LAA","RF","165","167","166.0"
"169","J.D. Martinez","LAD","DH","186","148","167.0"
"170","Eugenio Suarez","SEA","3B","141","194","167.5"
"171","Ryan Mountcastle","BAL","1B,DH","163","173","168.0"
"172","William Contreras","MIL","C,DH","154","183","168.5"
"173","Ian Happ","CHC","LF","157","181","169.0"
"174","Whit Merrifield","TOR","2B,CF,RF","144","197","170.5"
"175","Tyler Stephenson","CIN","C","170","171","170.5"
"176","Rowdy Tellez","MIL","1B","200","150","175.0"
"177","Jose Berrios","TOR","SP","217","136","176.5"
"178","Ketel Marte","ARI","2B,DH","208","147","177.5"
"179","Kodai Senga","NYM","SP","194","168","181.0"
"180","Mitch Haniger","SF","RF","137","226","181.5"
"181","Dustin May","LAD","SP","167","200","183.5"
"182","Paul Sewald","SEA","RP","172","195","183.5"
"183","Pete Fairbanks","TB","RP","159","218","188.5"
"184","Thairo Estrada","SF","2B,SS,LF","173","206","189.5"
"185","Brandon Drury","LAA","1B,2B,3B,DH","178","203","190.5"
"186","Alec Bohm","PHI","1B,3B","203","182","192.5"
"187","Joey Meneses","WSH","1B,RF","183","202","192.5"
"188","Jon Gray","TEX","SP","222","166","194.0"
"189","Javier Baez","DET","SS","176","212","194.0"
"190","Cody Bellinger","CHC","CF","184","205","194.5"
"191","Jonathan India","CIN","2B","188","204","196.0"
"192","Nico Hoerner","CHC","SS","205","188","196.5"
"193","Anthony Rendon","LAA","3B","202","191","196.5"
"194","David Robertson","NYM","RP","187","209","198.0"
"195","Keibert Ruiz","WSH","C","225","172","198.5"
"196","Merrill Kelly","ARI","SP","246","152","199.0"
"197","Miles Mikolas","STL","SP","199","201","200.0"
"198","Lars Nootbaar","STL","LF,CF,RF","193","211","202.0"
"199","Justin Turner","BOS","3B,DH","223","186","204.5"
"200","Ke'Bryan Hayes","PIT","3B","189","225","207.0"
"201","Lance McCullers Jr.","HOU","SP","229","192","210.5"
"202","Grayson Rodriguez","BAL","SP","181","242","211.5"
"203","Cal Raleigh","SEA","C","209","215","212.0"
"204","Riley Greene","DET","CF","204","221","212.5"
"205","Patrick Sandoval","LAA","SP","231","198","214.5"
"206","Evan Phillips","LAD","RP","195","236","215.5"
"207","Oscar Gonzalez","CLE","RF","197","234","215.5"
"208","Adam Wainwright","STL","SP","227","207","217.0"
"209","Jordan Walker","STL","3B","228","208","218.0"
"210","Alex Cobb","SF","SP","258","179","218.5"
"211","Craig Kimbrel","PHI","RP","207","230","218.5"
"212","Tyler Anderson","LAA","SP","245","193","219.0"
"213","Andrew Heaney","TEX","SP","221","217","219.0"
"214","Jose Leclerc","TEX","RP","185","259","222.0"
"215","Andrew Benintendi","CWS","LF","235","216","225.5"
"216","Hunter Brown","HOU","SP,RP","213","245","229.0"
"217","Jorge Lopez","MIN","RP","210","251","230.5"
"218","Kendall Graveman","CWS","RP","234","227","230.5"
"219","Triston Casas","BOS","1B","280","184","232.0"
"220","Jose Urquidy","HOU","SP","220","249","234.5"
"221","Ryan McMahon","COL","2B,3B","214","261","237.5"
"222","Ezequiel Tovar","COL","SS","239","247","243.0"
"223","Jack Flaherty","STL","SP","265","223","244.0"
"224","Cal Quantrill","CLE","SP","261","228","244.5"
"225","Liam Hendriks","CWS","RP","190","300","245.0"
"226","Harrison Bader","NYY","CF","216","274","245.0"
"227","Edward Cabrera","MIA","SP","241","253","247.0"
"228","Alex Lange","DET","RP","198","297","247.5"
"229","Sonny Gray","MIN","SP","254","243","248.5"
"230","Brendan Donovan","STL","1B,2B,3B,SS,LF,RF","256","244","250.0"
"231","Jameson Taillon","CHC","SP","292","210","251.0"
"232","Seranthony Dominguez","PHI","RP","230","273","251.5"
"233","Giovanny Gallegos","STL","RP","238","265","251.5"
"234","Noah Syndergaard","LAD","SP","253","252","252.5"
"235","Josh Rojas","ARI","2B,3B","284","232","258.0"
"236","Sean Manaea","SF","SP","332","189","260.5"
"237","Jason Adam","TB","RP","273","248","260.5"
"238","Ross Stripling","SF","SP,RP","272","250","261.0"
"239","Aroldis Chapman","KC","RP","257","266","261.5"
"240","Travis d'Arnaud","ATL","C","250","277","263.5"
"241","John Schreiber","BOS","RP","215","314","264.5"
"242","Nathan Eovaldi","TEX","SP","359","178","268.5"
"243","A.J. Minter","ATL","RP","302","241","271.5"
"244","Ranger Suarez","PHI","SP","331","213","272.0"
"245","Taylor Rogers","SF","RP","218","328","273.0"
"246","Jon Berti","MIA","2B,3B,SS,LF","219","334","276.5"
"247","Jose Trevino","NYY","C","242","311","276.5"
"248","Michael Brantley","HOU","LF,DH","290","263","276.5"
"249","Gregory Soto","PHI","RP","233","322","277.5"
"250","Josh Jung","TEX","3B","327","229","278.0"
"251","Walker Buehler","LAD","SP","191","367","279.0"
"252","Luis Urias","MIL","2B,3B,SS","343","219","281.0"
"253","Martin Perez","TEX","SP","338","224","281.0"
"254","Gary Sanchez","","C,DH","244","321","282.5"
"255","Adam Duvall","BOS","LF,CF,RF","307","262","284.5"
"256","Adalberto Mondesi","BOS","SS","224","346","285.0"
"257","Garrett Whitlock","BOS","SP,RP","310","260","285.0"
"258","Yandy Diaz","TB","1B,3B","434","137","285.5"
"259","Adam Ottavino","NYM","RP","268","304","286.0"
"260","Christian Vazquez","MIN","C,1B","262","313","287.5"
"261","Josh Donaldson","NYY","3B,DH","274","301","287.5"
"262","Jarred Kelenic","SEA","CF,RF","289","287","288.0"
"263","Corey Kluber","BOS","SP","323","255","289.0"
"264","Joey Votto","CIN","1B","285","295","290.0"
"265","Josh Naylor","CLE","1B,RF,DH","410","177","293.5"
"266","J.P. Crawford","SEA","SS","271","318","294.5"
"267","Jonathan Loaisiga","NYY","RP","251","339","295.0"
"268","Kike Hernandez","BOS","2B,SS,CF","326","267","296.5"
"269","Tyler Mahle","MIN","SP","439","156","297.5"
"270","Mike Yastrzemski","SF","CF,RF","325","270","297.5"
"271","Dylan Carlson","STL","CF,RF","303","292","297.5"
"272","Anthony Volpe","NYY","SS","339","258","298.5"
"273","Lourdes Gurriel Jr.","ARI","LF","342","257","299.5"
"274","Miguel Vargas","LAD","1B","369","231","300.0"
"275","Marcell Ozuna","ATL","LF,DH","293","307","300.0"
"276","Michael Kopech","CWS","SP","366","235","300.5"
"277","Adam Frazier","BAL","2B,LF,RF","294","308","301.0"
"278","Charlie Blackmon","COL","RF,DH","336","268","302.0"
"279","Wilmer Flores","SF","1B,2B,3B,DH","386","222","304.0"
"280","Garrett Mitchell","MIL","CF","236","373","304.5"
"281","Tyler Rogers","SF","RP","267","344","305.5"
"282","Ha-Seong Kim","SD","3B,SS","321","293","307.0"
"283","Trey Mancini","CHC","1B,LF,RF,DH","340","276","308.0"
"284","Michael King","NYY","RP","301","315","308.0"
"285","Trevor Bauer","","SP","247","370","308.5"
"286","Zack Greinke","KC","SP","269","348","308.5"
"287","Yuli Gurriel","MIA","1B","212","407","309.5"
"288","Jean Segura","MIA","2B","382","240","311.0"
"289","Trevor Story","BOS","2B","211","413","312.0"
"290","Andrew McCutchen","PIT","LF,RF,DH","349","280","314.5"
"291","Yasmani Grandal","CWS","C,DH","328","302","315.0"
"292","Joey Gallo","MIN","LF,RF","304","333","318.5"
"293","Kenta Maeda","MIN","SP","297","342","319.5"
"294","Austin Nola","SD","C","319","320","319.5"
"295","Francisco Alvarez","NYM","C,DH","252","389","320.5"
"296","Spencer Torkelson","DET","1B","357","288","322.5"
"297","Jesse Winker","MIL","LF","432","214","323.0"
"298","Oswaldo Cabrera","NYY","LF,RF","354","296","325.0"
"299","Robert Suarez","SD","RP","260","391","325.5"
"300","James Karinchak","CLE","RP","309","343","326.0"
"301","Reid Detmers","LAA","SP","407","246","326.5"
"302","Kyle Finnegan","WSH","RP","318","336","327.0"
"303","Austin Hays","BAL","LF,RF","436","220","328.0"
"304","Dylan Floro","MIA","RP","367","289","328.0"
"305","Hector Neris","HOU","RP","283","374","328.5"
"306","Rafael Montero","HOU","RP","341","317","329.0"
"307","Hayden Wesneski","CHC","SP","296","363","329.5"
"308","Marcus Stroman","CHC","SP","422","238","330.0"
"309","Danny Jansen","TOR","C","421","239","330.0"
"310","Domingo German","NYY","SP","324","337","330.5"
"311","Ramon Laureano","OAK","CF,RF","287","375","331.0"
"312","German Marquez","COL","SP","373","290","331.5"
"313","Collin McHugh","ATL","RP","291","372","331.5"
"314","Michael Conforto","SF","LF,RF","383","282","332.5"
"315","Isaac Paredes","TB","1B,2B,3B","381","284","332.5"
"316","Taijuan Walker","PHI","SP","385","281","333.0"
"317","Eduardo Rodriguez","DET","SP","362","306","334.0"
"318","CJ Abrams","WSH","2B,SS","433","237","335.0"
"319","Joc Pederson","SF","LF,RF","398","272","335.0"
"320","Gabriel Moreno","ARI","C","387","283","335.0"
"321","Hunter Dozier","KC","1B,3B,LF,RF,DH","322","350","336.0"
"322","Mark Canha","NYM","LF,CF","395","278","336.5"
"323","Michael Wacha","SD","SP","347","326","336.5"
"324","Carlos Carrasco","NYM","SP","408","271","339.5"
"325","Austin Meadows","DET","LF,RF","427","254","340.5"
"326","Seth Brown","OAK","1B,LF,CF,RF","429","256","342.5"
"327","Brett Baty","NYM","3B","380","305","342.5"
"328","Nick Pivetta","BOS","SP","417","269","343.0"
"329","Esteury Ruiz","OAK","LF","403","286","344.5"
"330","Chris Taylor","LAD","2B,LF,CF,RF","397","294","345.5"
"331","Joey Bart","SF","C","313","378","345.5"
"332","Bryson Stott","PHI","2B,SS","431","264","347.5"
"333","Ian Anderson","ATL","SP","278","419","348.5"
"334","Oswald Peraza","NYY","SS","400","298","349.0"
"335","Nelson Cruz","SD","DH","390","309","349.5"
"336","Yusei Kikuchi","TOR","SP,RP","404","303","353.5"
"337","Oscar Colas","CWS","CF,RF","376","331","353.5"
"338","Jonah Heim","TEX","C","345","362","353.5"
"339","Diego Castillo","SEA","RP","263","500","381.5"
"340","Brandon Marsh","PHI","LF,CF","372","340","356.0"
"341","Wil Myers","CIN","1B,LF,RF","440","275","357.5"
"342","Trevor Rogers","MIA","SP","401","316","358.5"
"343","Kolten Wong","SEA","2B","396","323","359.5"
"344","Mike Clevinger","CWS","SP","344","376","360.0"
"345","Aaron Civale","CLE","SP","316","405","360.5"
"346","Johnny Cueto","MIA","SP","277","490","383.5"
"347","Clarke Schmidt","NYY","SP,RP","377","349","363.0"
"348","Eduardo Escobar","NYM","3B","371","357","364.0"
"349","Will Smith","TEX","RP","298","432","365.0"
"350","Luis Garcia","WSH","2B,SS","402","330","366.0"
"351","Shintaro Fujinami","OAK","SP,RP","353","380","366.5"
"352","Eric Haase","DET","C,LF","374","365","369.5"
"353","Patrick Wisdom","CHC","1B,3B,RF","350","390","370.0"
"354","Yoan Moncada","CWS","3B","435","310","372.5"
"355","Nolan Gorman","STL","2B","335","412","373.5"
"356","Christopher Morel","CHC","2B,3B,SS,CF","370","379","374.5"
"357","Justin Steele","CHC","SP","438","312","375.0"
"358","Bobby Dalbec","BOS","1B,3B","351","406","378.5"
"359","Gio Urshela","LAA","3B","391","366","378.5"
"360","Luke Voit","MIL","1B,DH","312","494","403.0"
"361","Cavan Biggio","TOR","1B,2B,RF","315","447","381.0"
"362","Joey Wendle","MIA","2B,3B,SS","364","398","381.0"
"363","Eric Lauer","MIL","SP","442","325","383.5"
"364","Trent Grisham","SD","CF","399","368","383.5"
"365","Bryan De La Cruz","MIA","LF,CF,RF","443","327","385.0"
"366","Roansy Contreras","PIT","SP","423","347","385.0"
"367","Isiah Kiner-Falefa","NYY","SS","378","411","394.5"
"368","Nick Gordon","MIN","2B,SS,LF,CF","441","358","399.5"
"369","Manuel Margot","TB","LF,CF,RF","446","356","401.0"
"370","Jorge Mateo","BAL","SS","425","383","404.0"
"371","Elly De La Cruz","CIN","3B,SS","406","403","404.5"
"372","Mike Soroka","ATL","SP","414","399","406.5"
"373","Daniel Hudson","LAD","RP","415","400","407.5"
"374","Christian Arroyo","BOS","1B,2B,3B,SS,RF","388","431","409.5"
"375","Brusdar Graterol","LAD","RP","418","404","411.0"
"376","Dylan Moore","SEA","2B,SS,LF,CF,RF","384","461","422.5"
"377","Kyle Bradish","BAL","SP","411","428","419.5"
"378","Reynaldo Lopez","CWS","RP","420","425","422.5"
"379","Brendan Rodgers","COL","2B","409","464","436.5"
""
""
