Name,Team,Position
Spencer Steer,CIN,"1B,2B,3B,OF"
Clay Holmes,NYY,RP
Shane Bieber,CLE,SP
Lane Thomas,WSH,OF
Chris Sale,ATL,SP
Bryan Reynolds,PIT,OF
Alex Bregman,HOU,3B
Robert Suarez,SD,RP
Bailey Ober,MIN,SP
Evan Carter,TEX,OF
Christian Walker,AZ,1B
Mike Trout,LAA,OF
Cristopher Sánchez,PHI,SP
Merrill Kelly,AZ,SP
Yandy Díaz,TB,"1B,3B"
Zack Gelof,OAK,2B
Shota Imanaga,CHC,SP
Jason Adam,TB,RP
Hector Neris,CHC,RP
Kerry Carpenter,DET,OF
Nathan Eovaldi,TEX,SP
Yu Darvish,SD,SP
Joe Musgrove,SD,SP
Sonny Gray,STL,SP
Andrew Kittredge,STL,RP
John Means,BAL,SP
Luis Arraez,MIA,"1B,2B"
Anthony Volpe,NYY,SS
Adley Rutschman,BAL,C
James Outman,LAD,OF
Kenley Jansen,BOS,RP
Justin Steele,CHC,SP
Gavin Williams,CLE,SP
Tanner Scott,MIA,RP
Josh Naylor,CLE,1B
Josh Lowe,TB,OF
Tom Cosgrove,SD,RP
Brusdar Graterol,LAD,RP
Kutter Crawford,BOS,"SP,RP"
Jordan Walker,STL,OF
Nick Pivetta,BOS,"SP,RP"
Ryan Pressly,HOU,RP
Michael Wacha,KC,SP
Nolan Gorman,STL,"2B,3B"
Joel Payamps,MIL,RP
George Springer,TOR,OF
Bryan Abreu,HOU,RP
Chris Martin,BOS,RP
Cristian Javier,HOU,SP
Anthony Santander,BAL,"1B,OF"
Gleyber Torres,NYY,2B
William Contreras,MIL,C
Seiya Suzuki,CHC,OF
Braxton Garrett,MIA,SP
Tyler Holton,DET,RP
Jesús Luzardo,MIA,SP
Yainer Diaz,HOU,"C,1B"
Yuki Matsui,SD,P
Colin Poche,TB,RP
Andrew Nardi,MIA,RP
J.T. Realmuto,PHI,C
Carlos Rodón,NYY,SP
Jorge Polanco,SEA,"2B,3B"
Josh Jung,TEX,3B
Ke'Bryan Hayes,PIT,3B
Erik Swanson,TOR,RP
Brandon Nimmo,NYM,OF
José Alvarado,PHI,RP
José Abreu,HOU,1B
Cedric Mullins,BAL,OF
Devin Williams,MIL,RP
Teoscar Hernández,LAD,OF
Kyle Bradish,BAL,SP
Mason Miller,OAK,SP
Brandon Pfaadt,AZ,SP
A.J. Minter,ATL,RP
José Leclerc,TEX,RP
Max Muncy,LAD,3B
Triston Casas,BOS,1B
Tyler Wells,BAL,SP
Ezequiel Tovar,COL,SS
Nathaniel Lowe,TEX,1B
Jake Burger,MIA,3B
Will Smith,LAD,C
Brandon Drury,LAA,"1B,2B"
Matt Strahm,PHI,"SP,RP"
Tyler O'Neill,BOS,OF
Tim Mayza,TOR,RP
Adam Ottavino,NYM,RP
Ketel Marte,AZ,2B
Hunter Brown,HOU,SP
Kenta Maeda,DET,SP
Edouard Julien,MIN,2B
Alec Bohm,PHI,"1B,3B"
Kodai Senga,NYM,SP
Willy Adames,MIL,SS
Maikel Garcia,KC,"3B,SS"
Reynaldo López,ATL,RP
Eduardo Rodriguez,AZ,SP
Jordan Westburg,BAL,"2B,3B"
Robert Stephenson,LAA,RP
David Robertson,TEX,RP
Kyle Harrison,SF,SP
Marcus Stroman,NYY,SP
Brock Stewart,MIN,RP
Kevin Kelly,TB,RP
Aaron Civale,TB,SP
Dylan Cease,SD,SP
Salvador Perez,KC,"C,1B"
Alex Lange,DET,RP
Kevin Ginkel,AZ,RP
Taylor Ward,LAA,OF
Cole Ragans,KC,"SP,RP"
Kyle Finnegan,WSH,RP
Ian Happ,CHC,OF
Ryan Mountcastle,BAL,1B
Caleb Thielbar,MIN,RP
Chas McCormick,HOU,OF
Whit Merrifield,PHI,"2B,OF"
CJ Abrams,WSH,SS
Justin Verlander,HOU,SP
Marcell Ozuna,ATL,OF
Thairo Estrada,SF,"2B,SS"
Wade Miley,MIL,SP
Vinnie Pasquantino,KC,1B
Riley Greene,DET,OF
Bryan Woo,SEA,SP
Hunter Greene,CIN,SP
Wandy Peralta,SD,RP
Bryson Stott,PHI,2B
Hoby Milner,MIL,RP
Christopher Morel,CHC,"2B,OF"
Jack Suwinski,PIT,OF
Emilio Pagán,CIN,RP
Andrés Giménez,CLE,2B
Nick Sandlin,CLE,RP
Ryan McMahon,COL,"2B,3B"
Tyler Rogers,SF,RP
Max Scherzer,TEX,SP
Matt Moore,LAA,RP
James McArthur,KC,RP
Isaac Paredes,TB,"1B,2B,3B"
Eugenio Suárez,AZ,3B
Jorge Soler,SF,OF
Brock Burke,TEX,RP
Jeff Hoffman,PHI,RP
Alex Verdugo,NYY,OF
Jung Hoo,Lee SF,OF
Dustin May,LAD,SP
Spencer Torkelson,DET,1B
Sawyer Gipson-Long,DET,SP
Jonathan India,CIN,2B
Abner Uribe,MIL,RP
Triston McKenzie,CLE,SP
Shane Baz,TB,SP
Esteury Ruiz,OAK,OF
Drew Rasmussen,TB,SP
Vaughn Grissom,BOS,SS
Jeremy Peña,HOU,SS
Jackson Chourio,MIL,OF
Scott Barlow,CLE,RP
Ty France,SEA,1B
Gabe Speier,SEA,RP
John Schreiber,KC,RP
J.P. Feyereisen,LAD,RP
Mark Leiter,CHC,RP
Max Kepler,MIN,OF
Zach Neto,LAA,SS
James Karinchak,CLE,RP
Lourdes Gurriel,AZ,OF
Carlos Correa,MIN,SS
Sal Frelick,MIL,OF
Eloy Jiménez,CWS,OF
Griffin Jax,MIN,RP
Mitch Keller,PIT,SP
Austin Hays,BAL,OF
TJ Friedl,CIN,OF
José Berríos,TOR,SP
Will Smith,KC,RP
Jhony Brito,SD,"SP,RP"
Louie Varland,MIN,"SP,RP"
Edward Cabrera,MIA,SP
Nick Martinez,CIN,"SP,RP"
Brooks Raley,NYM,RP
Lance McCullers,HOU,SP
Danny Coulombe,BAL,RP
Jeff McNeil,NYM,"2B,OF"
Ryne Stanek,SEA,RP
Ryan Borucki,PIT,RP
Enyel De Los Santos,SD,RP
MJ Melendez,KC,"C,OF"
Justin Turner,TOR,"1B,2B,3B"
Giovanny Gallegos,STL,RP
Clayton Kershaw,LAD,SP
Josh Bell,MIA,1B
Alex Vesia,LAD,RP
Matt Wallner,MIN,OF
Chad Green,TOR,RP
Yimi García,TOR,RP
Ha-Seong Kim,SD,"2B,3B,SS"
Ian Hamilton,NYY,RP
Andrew Abbott,CIN,SP
Seranthony Domínguez,PHI,RP
Daniel Hudson,LAD,RP
Shelby Miller,DET,RP
Garrett Whitlock,BOS,"SP,RP"
DL Hall,MIL,RP
Tommy Kahnle,NYY,RP
Hunter Renfroe,KC,"1B,OF"
Jay Jackson,MIN,RP
Starling Marte,NYM,OF
John Brebbia,CWS,"SP,RP"
Caleb Ferguson,NYY,"SP,RP"
Yennier Cano,BAL,RP
Trevor Stephan,CLE,RP
Anthony Rizzo,NYY,1B
Aroldis Chapman,PIT,RP
Jeffrey Springs,TB,SP
Garrett Mitchell,MIL,OF
Steven Kwan,CLE,OF
Andrew Chafin,DET,RP
Junior Caminero,TB,3B
Taylor Rogers,SF,RP
Ryan Thompson,AZ,RP
Jordan Lawlar,AZ,SS
Jonathan Loáisiga,NYY,RP
Carlos Estévez,LAA,RP
Andrew Vaughn,CWS,1B
Joey Meneses,WSH,1B
JT Chargois,MIA,"SP,RP"
Lucas Sims,CIN,RP
Shawn Armstrong,TB,"SP,RP"
Blake Treinen,LAD,RP
Jarren Duran,BOS,OF
Logan O'Hoppe,LAA,C
Jimmy Herget,LAA,RP
Ryan Noda,OAK,1B
Orion Kerkering,PHI,RP
Joe Jiménez,ATL,RP
J.P. Crawford,SEA,SS
Kirby Yates,TEX,RP
Phil Maton,TB,RP
Luke Jackson,SF,RP
Brent Suter,CIN,RP
Steven Okert,MIN,RP
Dylan Lee,ATL,RP
Jason Foley,DET,RP
Chris Stratton,KC,RP
Colt Keith,DET,"2B,3B"
Charlie Morton,ATL,SP
Taj Bradley,TB,SP
Heston Kjerstad,BAL,OF
Sam Moll,CIN,RP
Dillon Tate,BAL,RP
Cionel Pérez,BAL,RP
Michael Tonkin,NYM,RP
Willson Contreras,STL,C
Logan Allen,CLE,SP
Miguel Castro,AZ,RP
Justin Topa,MIN,RP
Trevor Story,BOS,SS
Steven Wilson,CWS,RP
Ceddanne Rafaela,BOS,"SS,OF"
Luke Raley,SEA,"1B,OF"
Reese Olson,DET,SP
Ron Marinaccio,NYY,RP
Adam Cimber,LAA,RP
Eli Morgan,CLE,RP
Mark Canha,DET,"1B,OF"
Miguel Díaz,DET,RP
C.J. Cron,BOS,1B
Andrew Wantz,LAA,RP
Parker Meadows,DET,OF
Daulton Varsho,TOR,OF
Scott Effross,NYY,RP
Dauri Moreta,PIT,RP
Carmen Mlodzinski,PIT,RP
Brayan Bello,BOS,SP
Drew Smith,NYM,RP
Anthony Bender,MIA,RP
Javier Assad,CHC,"SP,RP"
Dany Jiménez,OAK,RP
Harold Ramírez,TB,OF
Taijuan Walker,PHI,SP
Zach Jackson,OAK,RP
J.P. France,HOU,SP
Bryan Baker,BAL,RP
Corey Knebel,CWS,RP
Robbie Ray,SF,SP
Garrett Cleavinger,TB,RP
Rhys Hoskins,MIL,1B
Will Benson,CIN,OF
Joe Boyle,OAK,SP
Matt Brash,SEA,RP
Clarke Schmidt,NYY,SP
Miles Mikolas,STL,SP
Nelson Velázquez,KC,OF
Ranger Suárez,PHI,SP
Kyle Nelson,AZ,RP
Joe Mantiply,AZ,RP
Brent Rooker,OAK,OF
Charlie Blackmon,COL,OF
Kody Funderburk,MIN,RP
Matt Manning,DET,SP
Jon Gray,TEX,SP
Byron Buxton,MIN,Util
Ryan Walker,SF,"SP,RP"
Matt Chapman,SF,3B
Jeimer Candelario,CIN,"1B,3B"
Dylan Floro,WSH,RP
Zack Littell,TB,"SP,RP"
Nolan Schanuel,LAA,1B
Tejay Antone,CIN,P
Jameson Taillon,CHC,SP
Andrew Benintendi,CWS,OF
Alex Kirilloff,MIN,"1B,OF"
Luis Rengifo,LAA,"2B,3B,SS,OF"
Gregory Soto,PHI,RP
Isaiah Campbell,BOS,RP
Joey Lucchesi,NYM,SP
Bo Naylor,CLE,C
Griffin Canning,LAA,SP
Francisco Alvarez,NYM,C
José Quintana,NYM,SP
Keaton Winn,SF,SP
Ian Gibaut,CIN,RP
Amed Rosario,TB,"2B,SS"
Cal Raleigh,SEA,C
Kris Bryant,COL,"1B,OF"
Bryce Jarvis,AZ,RP
Zack Thompson,STL,"SP,RP"
Ryan Brasier,LAD,RP
Aaron Bummer,ATL,RP
Luis Garcia,HOU,SP
Carlos Santana,MIN,1B
Woo-Suk Go,SD,RP
Connor Brogdon,PHI,RP
Sean Murphy,ATL,C
Zack Weiss,MIN,RP
Nick Anderson,KC,RP
Seth Lugo,KC,SP
A.J. Puk,MIA,RP
Luis Campusano,SD,C
Scott Alexander,OAK,"SP,RP"
Jarred Kelenic,ATL,OF
Victor González,NYY,RP
Keegan Thompson,CHC,RP
Will Vest,DET,RP
Luis García,LAA,RP
Randy Vásquez,SD,"SP,RP"
Nick Ramirez,NYY,RP
Daniel Palencia,CHC,RP
Angel Perdomo,ATL,RP
JoJo Romero,STL,RP
Ty Adcock,SEA,RP
Jake Cronenworth,SD,"1B,2B"
Tyler Matzek,ATL,RP
Andrew Saalfrank,AZ,RP
Julian Merryweather,CHC,RP
Jared Triolo,PIT,"1B,2B,3B"
Gabriel Moreno,AZ,C
Peter Strzelecki,AZ,RP
Hayden Wesneski,CHC,"SP,RP"
Trent Thornton,SEA,RP
Brendan Donovan,STL,"1B,2B,OF"
Javier Báez,DET,SS
Alek Jacob,SD,RP
Matt Gage,LAD,RP
Keynan Middleton,STL,RP
Jake Latz,TEX,RP
Sam Hentges,CLE,RP
Andrew Heaney,TEX,"SP,RP"
Alex Cobb,SF,SP
Thyago Vieira,MIL,RP
Bryan De La Cruz,MIA,OF
Frankie Montas,CIN,RP
Steven Matz,STL,"SP,RP"
Brennan Bernardino,BOS,"SP,RP"
Tommy Edman,STL,"2B,SS,OF"
Jose Siri,TB,OF
Henry Davis,PIT,OF
Colin Holderman,PIT,RP
Bowden Francis,TOR,RP
Robert Garcia,WSH,RP
Garrett Crochet,CWS,RP
Andrew McCutchen,PIT,OF
José Soriano,LAA,RP
Kyle Hurt,LAD,RP
Tanner Banks,CWS,RP
Luis Matos,SF,OF
Austin Warren,SF,RP
Lars Nootbaar,STL,OF
Jordan Weems,WSH,RP
Pedro Avila,SD,"SP,RP"
AJ Smith-Shawver,ATL,SP
Tristan Beck,SF,RP
Zach Pop,TOR,RP
John McMillon,KC,RP
Tim Anderson,MIA,SS
Michael Kelly,OAK,RP
Joe Ross,MIL,SP
Bryce Elder,ATL,SP
Luke Little,CHC,RP
Davis Daniel,LAA,RP
Angel Felipe,OAK,RP
Yoendrys Gómez,NYY,RP
Jacob Lopez,TB,P
Buck Farmer,CIN,RP
Brendan Rodgers,COL,2B
Chris Devenski,TB,RP
Gregory Santos,SEA,RP
Nate Pearson,TOR,RP
Wilmer Flores,SF,"1B,3B"
Casey Mize,DET,SP
Darius Vines,ATL,P
Eduard Bazardo,SEA,RP
Tanner Rainey,WSH,RP
Tyler Anderson,LAA,SP
Beau Brieske,DET,RP
Jackson Stephens,ATL,RP
Fernando Cruz,CIN,RP
Jackson Wolf,PIT,SP
Dean Kremer,BAL,SP
Prelander Berroa,CWS,RP
Hagen Danner,TOR,RP
Tanner Houck,BOS,SP
Jacob Webb,BAL,RP
Anthony Veneziano,KC,RP
Riley O'Brien,STL,P
Colton Cowser,BAL,OF
Miguel Vargas,LAD,2B
José Quijada,LAA,RP
José Urquidy,HOU,"SP,RP"
Sam Bachman,LAA,RP
Luis F. Ortiz,PHI,RP
Daniel Duarte,MIN,RP
Guillermo Zuñiga,LAA,RP
Deivi García,CWS,RP
Brandon Lowe,TB,2B
Nick Vespi,BAL,RP
Joe Kelly,LAD,RP
Brice Turang,MIL,"2B,SS"
Giancarlo Stanton,NYY,OF
Jonathan Bowlan,KC,P
Emmet Sheehan,LAD,SP
Matt Waldron,SD,SP
Jorge Alcala,MIN,RP
Grant Hartwig,NYM,RP
Manuel Rodríguez,TB,RP
Davis Schneider,TOR,2B
Phil Bickford,NYM,RP
Elvis Peguero,MIL,RP
