name,PlayerId,position
Brandon Drury,32269,1B-2B
Louie Varland,4917888,SP-RP
Jackson Merrill,4872691,SS
Yuki Matsui,4142414,RP
J.D. Martinez,31065,DH
Lucas Giolito,32697,SP
Brandon Pfaadt,4721302,SP
Jacob deGrom,32796,SP
Ezequiel Tovar,4905919,SS
Kris Bryant,33172,RF-DH
Jason Adam,32145,RP
Bryan Abreu,41208,RP
Alex Verdugo,33786,RF
Taylor Ward,34923,LF
Joel Payamps,40021,RP
Max Kepler,31870,RF
Paul Skenes,4719507,SP
Dane Dunning,36080,SP-RP
Wilmer Flores,30627,1B-3B-DH
Andrew Heaney,32672,SP
Andrew Vaughn,42394,1B
Jonathan India,41171,2B
Griffin Canning,41065,SP
Kerry Carpenter,42714,RF-DH
Eugenio Suarez,32367,3B
Ty France,35591,1B
Starling Marte,30830,RF
DJ LeMahieu,30765,1B-3B
Mason Miller,4730225,SP
Colt Keith,4683384,2B-3B
Aaron Civale,40934,SP
Hector Neris,32377,RP
Nick Lodolo,42433,SP
Jorge Polanco,32525,2B
Gavin Stone,4417230,SP
Matt Strahm,34862,SP-RP
Edouard Julien,3985190,2B-DH
Austin Hays,36928,LF
A.J. Minter,36133,RP
Bo Naylor,41183,C
Shane Baz,39639,SP
MacKenzie Gore,39636,SP
Clayton Kershaw,28963,SP
Brent Rooker,40926,LF-RF-DH
Kyle Gibson,31053,SP
Sean Manaea,33244,SP-RP
Aroldis Chapman,30442,RP
Ryan McMahon,33247,2B-3B
Luis Severino,33263,SP
Garrett Whitlock,39674,SP-RP
Clarke Schmidt,41085,SP
Whit Merrifield,32422,2B-LF
Matt Brash,4894467,RP
Jose Abreu,33095,1B
MJ Melendez,40948,LF-RF
Sal Frelick,4417795,CF-RF
Mark Canha,31670,LF-RF-DH
Bryan De La Cruz,40787,LF
Seth Lugo,34873,SP
Will Smith,31549,RP
Miles Mikolas,32116,SP
Jack Suwinski,36754,CF-RF
Cristopher Sanchez,42359,SP
Joey Meneses,34534,DH
Maikel Garcia,4905884,3B
Frankie Montas,33249,SP
Hunter Harvey,33191,RP
Alejandro Kirk,42081,C
Ranger Suarez,39817,SP
Jordan Hicks,37909,RP
Zach Neto,4666100,SS
Ryan Mountcastle,34940,1B-DH
Jasson Dominguez,42401,CF
Brady Singer,41172,SP
Erik Swanson,36013,RP
Tyler O'Neill,34168,LF
Jarred Kelenic,41150,LF-RF
Hunter Renfroe,33205,RF
David Robertson,29172,RP
Michael Wacha,32640,SP
Luis Campusano,40521,C
Jack Flaherty,33837,SP
JP Sears,39818,SP
Brandon Lowe,39961,2B
DL Hall,41018,RP
Carlos Santana,30280,1B
Ceddanne Rafaela,4987382,CF
Orlando Arcia,32530,SS
Parker Meadows,41223,CF
Garrett Crochet,4297835,RP
Griffin Jax,42604,RP
Henry Davis,4418683,RF
Jose Quintana,32106,SP
Brusdar Graterol,40965,RP
Jason Foley,42698,RP
Mitch Haniger,32771,LF
Leody Taveras,34951,CF
Reynaldo Lopez,33860,RP
Logan Allen,4683350,SP
Jordan Westburg,4298641,2B-3B
Tyler Stephenson,34975,C-DH
Edward Cabrera,40944,SP
Chris Martin,32903,RP
Chris Taylor,32900,3B-SS-LF
Taijuan Walker,31864,SP
Ezequiel Duran,42457,3B-SS-LF-DH
Tanner Houck,41009,SP
James Paxton,31980,SP
Tyler Rogers,34026,RP
Abner Uribe,4917865,RP
Masyn Winn,4683365,SS
Justin Lawrence,41310,RP
Charlie Blackmon,31084,RF-DH
Tyler Wells,4717904,SP
Taj Bradley,42480,SP
Joc Pederson,31392,LF-DH
Nelson Velazquez,41047,RF
John Means,39948,SP
Tim Anderson,33184,SS
Victor Scott II,4807220,CF
Erick Fedde,33793,SP
Brendan Rodgers,35073,2B
Casey Mize,41167,SP
Chase Silseth,4413990,SP-RP
Nolan Schanuel,4739755,1B
James McArthur,3960883,RP
Jordan Wicks,4420749,SP
LaMonte Wade Jr.,37798,1B-LF
Danny Jansen,35004,C
Colton Cowser,4416990,LF-CF-RF
Johan Rojas,42829,CF
Michael Busch,42415,3B
James Wood,4918256,CF-RF
Emmet Sheehan,4417806,SP
Austin Wells,4683349,C
Alek Manoah,42436,SP
Tommy Pham,31208,LF-DH
Jose Siri,33954,CF
Dylan Crews,4719511,CF
Zack Littell,36052,SP-RP
Brandon Marsh,40803,LF-CF
Pete Crow-Armstrong,4717833,CF
Brendan Donovan,41773,2B-LF
Patrick Sandoval,40975,SP
Noelvi Marte,41307,3B
Jurickson Profar,31117,LF
Chase DeLauter,4619649,CF-RF
Scott Barlow,32156,RP
Alex Kirilloff,40636,1B-RF
Max Meyer,4345164,SP
Jordan Lawlar,4872649,SS
Javier Baez,32127,SS
Michael Kopech,33763,SP
Shea Langeliers,42598,C
Michael Lorenzen,33252,SP
Ricky Tiedemann,4917902,SP
Reese Olson,4734319,SP
Yoan Moncada,33984,3B
Kyle Hendricks,33173,SP
Nick Martinez,33372,SP-RP
Shane McClanahan,41199,SP
Bryce Elder,4301067,SP
Elias Diaz,33594,C
Jameson Taillon,31258,SP
Joey Ortiz,42958,2B
Alek Thomas,41215,CF
Trevor Rogers,39640,SP
Amed Rosario,33215,2B-SS
Giovanny Gallegos,36050,RP
Jeffrey Springs,35397,SP
Brett Baty,42414,3B
Will Benson,39216,LF-RF
Willi Castro,34230,3B-LF-CF
Sandy Alcantara,35241,SP
Adam Duvall,32664,CF-RF
Robbie Ray,32175,SP
Davis Schneider,4997181,2B
Jared Jones,4918156,SP
Graham Ashcraft,4084179,SP
Michael Soroka,34984,SP
Chris Paddack,35999,SP
Luis Gil,40626,SP
Seth Brown,35676,LF-RF
Joe Kelly,31992,RP
Luis Garcia Jr.,40459,2B
Enrique Hernandez,31358,2B-SS-CF
John Brebbia,39085,SP-RP
Orion Kerkering,4630789,RP
Mark Leiter Jr.,36202,RP
Julian Merryweather,39816,RP
Jake Fraley,37974,LF-RF-DH
Brooks Raley,32005,RP
Alex Cobb,31086,SP
Travis d'Arnaud,29951,C
Cavan Biggio,37639,1B-2B-RF
Luis Matos,4722941,CF
Mike Yastrzemski,33341,CF-RF
Gregory Soto,39804,RP
Cade Horton,4692526,SP
Kyle Manzardo,4917927,1B
Jose Caballero,42135,2B-SS
Kevin Ginkel,41432,RP
Michael Conforto,33711,RF
Dustin May,40937,SP
Wander Franco,40929,SS
Yimi Garcia,32888,RP
Felix Bautista,4905859,RP
Andrew McCutchen,28701,DH
Brice Turang,41179,2B-SS
Joey Gallo,32818,1B-LF
Anthony Rendon,32098,3B
Brandon Woodruff,37515,SP
Tylor Megill,3332018,SP
Spencer Jones,4867424,CF
Joe Boyle,4298087,SP
Eddie Rosario,31944,LF
Luke Raley,40422,1B-RF
Alex Wood,32620,SP-RP
Jason Heyward,29551,CF-RF
Coby Mayo,4683371,1B-3B
Martin Perez,31098,SP-RP
Jackson Jobe,4872647,SP
Matt Wallner,42427,LF-RF
Patrick Bailey,4345843,C
Jose Urquidy,35759,SP-RP
Tyler Kinley,34166,RP
Ryan O'Hearn,35183,1B-RF
Ryan Noda,40518,1B
Andrew Nardi,3975840,RP
Harrison Bader,35062,CF
Trevor Megill,40080,RP
Colson Montgomery,4872685,SS
J.P. France,3662290,SP
Josh Sborz,36178,RP
Ethan Salas,5124004,C
Tyler Black,4414183,3B
Wilyer Abreu,4990055,LF-CF
Yan Gomes,32108,C
Gary Sanchez,31095,C
Max Clark,5148964,CF
Heston Kjerstad,4297758,DH
Andrew Painter,4872683,SP
AJ Smith-Shawver,4917640,SP
Daniel Hudson,30376,SP-RP
Keaton Winn,5116843,SP
Ryan Jeffers,41587,C
Ross Stripling,32789,SP-RP
Bowden Francis,4734325,RP
Luisangel Acuna,42411,SS
Drew Rasmussen,42584,SP
Mauricio Dubon,35304,2B-CF
Caleb Ferguson,41017,SP-RP
Brock Stewart,35997,RP
Garrett Mitchell,4313442,CF
Steven Matz,33106,SP-RP
Jon Berti,32273,3B-SS
Brenton Doyle,42462,CF
Luis Urias,35383,2B-3B
Wade Miley,31094,SP
Zach McKinstry,38420,2B-3B-SS-LF-RF
Jake McCarthy,41197,RF
Matt Vierling,41636,3B-LF-CF-RF
Jesus Sanchez,39957,RF
Jake Rogers,39900,C
Marcelo Mayer,4872648,SS
Sixto Sanchez,36186,SP
Alex Vesia,42622,RP
Lance McCullers Jr.,32764,SP
Marco Luciano,41198,SS
Brayan Rocchio,41217,3B-SS
Colin Poche,40364,RP
Julio Urias,33223,SP
Mike Clevinger,32769,SP
Tyler Anderson,32151,SP
Walker Jenkins,5148963,CF
Matt Manning,40920,SP
Geraldo Perdomo,41355,2B-SS
Kyle Freeland,33839,SP
Javier Assad,5002950,SP-RP
Adam Frazier,33546,2B
Curtis Mead,42360,3B
Ryan Weathers,41178,SP
Ryne Nelson,4916269,SP
Hunter Goodman,4416591,1B-RF
Adam Ottavino,29705,RP
Matthew Shaw,4867667,2B-SS
Adrian Houser,32157,SP
Luis Garcia,4684365,SP
Jhony Brito,42864,SP-RP
J.D. Davis,33796,3B
Jacob Misiorowski,5080761,SP
Gio Urshela,32721,1B-3B
Jeff Hoffman,33841,RP
Connor Wong,40086,C
Hurston Waldrep,4740117,SP
Mickey Moniak,36181,CF
Roman Anthony,5080767,CF
Brooks Lee,4629081,SS
Tim Mayza,35773,RP
Lucas Sims,32807,RP
Josh Winckowski,4713488,RP
Danny Coulombe,33638,RP
Harold Ramirez,33259,DH
Sam Basallo,4917646,C-1B
Druw Jones,5080631,CF
Dany Jimenez,42380,RP
Colin Holderman,4917897,RP
Rhett Lowder,4758873,SP
Daniel Vogelbach,32851,DH
Aaron Ashby,41325,SP
Patrick Corbin,31313,SP
Domingo German,33660,SP
Drew Smyly,31816,SP-RP
Jorge Mateo,33832,SS
Dylan Carlson,39226,CF-RF
Kirby Yates,32623,RP
Taylor Rogers,33671,RP
Kevin Kiermaier,31446,CF
Isiah Kiner-Falefa,33572,3B-LF-CF
Nick Senzel,36180,3B-LF
Rowdy Tellez,34287,1B-DH
Jonathan Loaisiga,39807,RP
Termarr Johnson,5080632,2B
Mick Abel,4718970,SP
Joe Jimenez,33760,RP
Lawrence Butler,4917919,CF
Woo Suk Go,5134609,RP
Liover Peguero,42451,2B-SS
Drew Thorpe,4629086,SP
Ronny Mauricio,40978,2B
Yariel Rodriguez,4411979,
